stage,epidermis,eye,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,7,0,0,0,1,0,0,0,0,0,4,1,0,0,1,3,1,0,0
 24-34,1.64,0,0,0,0,0,0,1.64,0,0.82,5.75,0,0,0,0.82,0.82,1.64,0,0
 36-46,0,0.81,0.81,0,0,0.81,0,2.42,0,1.61,16.92,0.81,0,0,0,1.61,3.22,0.81,0
 48-58,0,1.15,0,0.57,0,0,0,5.74,0,0.57,10.33,0,0,0,0,0,1.72,1.15,0
 60-70,0,4.91,0,2.94,0,0,0,14.72,0,1.96,19.63,0,0,0,0,0,5.89,0.98,0
 72-82,0,1.96,0,9.82,0,0,0,4.91,0,0,14.72,0,0.98,0,0,0,3.93,0,0
 84-94,3.19,1.06,1.06,3.19,0,0,0,5.31,1.06,0,9.56,0,0,0,0,0,1.06,1.06,0
 96-106,1.09,3.28,0,4.37,0,0,0,4.37,0,0,8.74,0,1.09,2.19,1.09,0,0,2.19,0
108-118,0,3.83,0,3.06,0,0,0,4.6,0.77,0,9.19,0,0,1.53,0,0,0.77,0,0
120,5.88,3.92,0,0,0,0,1.96,1.96,0,0,9.8,0,0,0,0,0,0,1.96,1.96
