stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,29,7,8,0,0,0,1,8,0,0,0,1,0,0,0,7,21,0,0,10,42,2,0,0,1,0,0,4,2,1,5,31,0,0,0,0,1
 24-34,0,0.82,1.64,14.78,0.82,35.3,0,2.46,1.64,8.21,0.82,0,0,0.82,0.82,0.82,0,0.82,6.57,73.06,0,0.82,36.12,106.71,0.82,0.82,4.1,0,0,0.82,0,1.64,0,4.1,22.98,0,0,12.31,0,9.85
 36-46,0,0,0,6.45,0,53.17,0.81,0.81,1.61,23.36,1.61,0,3.22,0,0,4.03,0,0,6.45,95.07,0,0.81,26.59,112.79,1.61,0,4.03,0,0,0.81,0,2.42,0.81,0,27.39,0,0.81,12.09,0.81,6.45
 48-58,0,0,0,4.59,0,161.81,0,1.15,2.3,27.54,0.57,0,1.72,0.57,0.57,2.3,0.57,0,10.33,98.12,0,2.87,13.2,84.92,2.3,0.57,4.02,0,0,4.02,0,0,0,0,35.58,0,0.57,7.46,0,4.02
 60-70,0,0,0,3.93,0,295.44,0,3.93,2.94,71.65,1.96,0,0,1.96,2.94,13.74,0,0,4.91,164.9,0,5.89,12.76,88.34,0,0,6.87,0,0.98,4.91,0,0.98,0,0,41.22,0,1.96,13.74,0.98,8.83
 72-82,0,0,0,9.82,0,172.77,0.98,0,2.94,135.47,6.87,0,2.94,0,0,7.85,0.98,0,3.93,216.95,0,1.96,19.63,82.46,1.96,0.98,13.74,0,0,1.96,0,0,0,0,19.63,0,3.93,24.54,4.91,5.89
 84-94,0,0,0,13.81,1.06,195.41,3.19,4.25,3.19,86.03,2.12,0,3.19,1.06,0,16.99,0,0,14.87,122.13,0,7.43,13.81,57.35,3.19,0,6.37,0,0,7.43,0,1.06,0,0,20.18,0,3.19,14.87,1.06,6.37
 96-106,0,1.09,0,16.39,1.09,119.12,3.28,1.09,5.46,79.78,6.56,0,3.28,5.46,0,16.39,2.19,2.19,5.46,139.88,0,0,8.74,65.57,0,2.19,13.11,0,1.09,5.46,0,1.09,0,0,12.02,0,2.19,20.76,1.09,5.46
108-118,0,0.77,0.77,22.98,2.3,85.02,0.77,3.83,4.6,77.36,7.66,0,1.53,2.3,1.53,19.15,1.53,2.3,10.72,131.75,1.53,2.3,15.32,39.06,0.77,0.77,10.72,0,1.53,4.6,0,0,0.77,0,2.3,0,1.53,16.85,0.77,5.36
120,0,0,0,21.56,1.96,72.51,3.92,1.96,1.96,58.79,9.8,0,0,0,5.88,11.76,1.96,1.96,3.92,123.47,0,7.84,9.8,62.71,0,0,11.76,0,1.96,5.88,0,0,1.96,0,5.88,3.92,0,25.48,3.92,1.96
