stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,9.44,0,0,12.59,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,2,17,7,3,0,0,59,1,0,0,0,0,0,0,13,0,0,8,85,3,9,21,12,1,4,59,7,196,0,0,0,0
 24-34,0,0.82,0.82,2.46,0.82,4.93,0.82,0,41.04,0,0,0,0,2.46,0,0,7.39,0,0,9.03,64.03,0.82,23.8,1.64,0,1.64,0,11.49,0.82,108.35,0,4.1,0,0
 36-46,0,0,0,3.22,0,3.22,0,0,24.17,0,0,0,0,0.81,0,0,6.45,0,0.81,4.03,43.51,2.42,22.56,1.61,0,0.81,0,3.22,0,62.04,0,0.81,0,0
 48-58,0,0,0,1.15,0,2.87,0,0.57,14.92,0,0.57,0,0,0,0,0,5.74,0,0.57,1.72,31.56,0,15.49,2.3,0,0,0,2.3,0,48.2,0,0,0,0.57
 60-70,0,0.98,0,3.93,0,10.8,0.98,1.96,17.67,0.98,0,0,0,3.93,0.98,0,6.87,0.98,0.98,0,33.37,0,14.72,2.94,0,0,0,6.87,0,22.58,0.98,0,0,0
 72-82,0,0.98,0,0.98,0,9.82,0,0.98,23.56,0.98,0,0,0,3.93,0,0,7.85,0,0,1.96,30.43,0,33.38,1.96,0,0.98,0,0.98,0,4.91,0.98,0,2.94,0.98
 84-94,0,1.06,2.12,2.12,0,8.5,0,1.06,13.81,0,2.12,0,0,4.25,0,1.06,16.99,0,1.06,1.06,11.68,0,21.24,4.25,0,0,0,7.43,0,15.93,1.06,1.06,1.06,1.06
 96-106,0,0,0,2.19,0,4.37,0,0,12.02,1.09,1.09,0,0,8.74,0,1.09,9.84,0,0,1.09,16.39,0,36.06,4.37,0,0,0,4.37,0,5.46,0,0,2.19,0
108-118,0,0,0,2.3,0.77,1.53,0.77,0,16.85,0.77,0,0,0,7.66,0,0,13.79,0,0,0,15.32,1.53,29.87,2.3,0,0.77,0,3.06,0,7.66,0,0,1.53,0
120,0,0,0,0,0,0,0,0,3.92,0,0,1.96,1.96,1.96,0,0,1.96,0,0,0,3.92,0,33.32,0,0,0,0,7.84,0,1.96,1.96,0,1.96,0
