stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,38,1135,65,0,21,0,0,0,63,12,2,3,1,3,1,0,1,0,407,10,0,756,267,122,0,35,2,0,2,1,224,1,241,1494,455,0,0,4,0,0
 24-34,0.82,0.82,29.55,1451.27,22.16,0,69.77,67.31,35.3,33.66,153.5,12.31,1.64,26.27,0,4.93,1.64,21.34,4.1,2.46,1428.29,24.63,5.75,966.97,885.7,102.61,8.21,80.44,0.82,2.46,23.8,0.82,6.57,7.39,160.89,465.43,715.79,0,0,36.12,0,5.75
 36-46,0.81,0.81,0,831.45,4.03,0,65.26,67.68,70.9,107.15,125.68,4.03,0,29.81,5.64,3.22,3.22,32.23,0.81,1.61,1822.42,12.89,28.2,664.68,602.64,29,6.45,75.73,0,1.61,9.67,2.42,4.03,4.03,79.76,9.67,398.81,0,2.42,9.67,0,0.81
 48-58,0.57,0,0,740.78,2.87,0,169.27,42.46,136.57,125.66,124.52,0,1.15,33.85,4.02,1.15,2.3,19.51,1.15,5.16,2496.62,13.2,72.3,469.95,650.12,14.35,5.74,84.92,0.57,7.46,13.2,0,0.57,0,57.38,0.57,250.18,0,9.75,11.48,1.72,7.46
 60-70,0.98,0.98,0,690.01,4.91,0,209.06,31.41,110.91,143.3,92.26,2.94,1.96,26.5,10.8,2.94,3.93,18.65,2.94,0.98,3217.43,14.72,111.89,344.51,451.5,7.85,7.85,78.52,0.98,21.59,9.82,0.98,0,0.98,30.43,0,106,0,59.87,11.78,29.45,6.87
 72-82,0,2.94,0.98,758.82,23.56,2.94,423.1,20.61,123.69,214.98,161.97,9.82,0,45.16,15.71,3.93,8.83,19.63,1.96,0.98,4033.65,15.71,146.27,415.24,512.43,7.85,17.67,129.58,0,21.6,16.69,0.98,0.98,2.94,11.78,0,95.22,3.93,115.84,33.38,111.91,10.8
 84-94,1.06,2.12,0,1445.43,14.87,3.19,526.77,20.18,237.9,151.87,123.2,7.43,1.06,35.05,29.74,11.68,11.68,12.74,7.43,4.25,3274.26,15.93,158.24,338.79,310.11,6.37,9.56,122.13,0,12.74,29.74,0,0,7.43,12.74,0,63.72,2.12,103.02,21.24,114.7,3.19
 96-106,0,2.19,0,1657.85,36.06,7.65,406.54,19.67,253.54,132.23,140.98,17.49,0,57.92,42.62,12.02,8.74,17.49,14.21,3.28,3093.85,33.88,118.03,300.53,448.07,7.65,24.04,184.69,0,36.06,45.9,1.09,0,7.65,10.93,0,41.53,5.46,89.61,33.88,146.44,5.46
108-118,0,0.77,0.77,1541.12,19.15,4.6,178.47,10.72,323.24,115.66,100.34,7.66,0,24.51,27.57,9.19,12.26,12.26,6.89,3.06,3166.49,19.15,101.87,294.13,374.56,3.06,13.02,166.98,0,40.6,25.28,0,0,5.36,6.89,0,23.74,5.36,72.77,14.55,101.87,2.3
120,1.96,1.96,0,1101.4,11.76,3.92,160.7,7.84,254.77,119.55,66.63,7.84,0,27.44,25.48,3.92,5.88,5.88,9.8,0,3012.19,15.68,117.59,305.73,337.08,7.84,13.72,131.31,0,35.28,21.56,0,0,1.96,1.96,0,17.64,5.88,56.83,9.8,133.27,3.92
