stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,2,19,1,0,0,0,4,0,0,2,0,0,2,0,0,0,0,1,0,0,1,5,0,0,1,0,20,0,1,2,6,0,0,0,0
 24-34,1.64,4.93,0,0,0.82,0,3.28,0,0,0,0,0,13.13,0,1.64,0.82,0,0.82,0,0,0,17.24,3.28,0,0,0,57.46,0,3.28,0.82,2.46,0,0,0,0
 36-46,0,3.22,0,0,0,0,1.61,0.81,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,24.17,5.64,0,0,0,52.37,0,2.42,0,4.03,0,0,0,0
 48-58,1.15,1.72,0,0,2.3,0,1.15,0,0,0.57,1.15,0,1.15,0.57,0,0,0.57,2.3,1.72,0,0,18.94,1.15,0.57,0,0,32.13,0,0,0,2.87,0,0,0,1.15
 60-70,0,3.93,0.98,0,2.94,0,2.94,0,1.96,1.96,1.96,0.98,1.96,0,1.96,0,0.98,1.96,0,0,0.98,9.82,10.8,0,0,0,26.5,0,0,0,0.98,0,0,0,0
 72-82,10.8,4.91,0.98,0,6.87,0,1.96,0.98,1.96,14.72,0.98,0.98,1.96,0,0.98,0.98,0,5.89,2.94,0,0.98,15.71,8.83,2.94,0,0,28.47,0,0,0,1.96,5.89,0.98,0.98,0
 84-94,3.19,12.74,2.12,0,7.43,0,3.19,0,1.06,21.24,0,3.19,4.25,1.06,1.06,1.06,0,1.06,1.06,0,0,7.43,8.5,2.12,0,1.06,73.28,0,1.06,0,1.06,27.61,0,0,0
 96-106,9.84,19.67,5.46,1.09,17.49,1.09,4.37,0,3.28,64.48,0,4.37,5.46,0,3.28,4.37,0,5.46,4.37,2.19,1.09,12.02,9.84,1.09,0,0,64.48,1.09,0,0,1.09,36.06,0,1.09,1.09
108-118,6.89,38.3,2.3,0,13.79,0,5.36,0,3.06,82.72,0,2.3,6.89,0,3.06,2.3,0.77,4.6,3.06,0,0.77,14.55,6.89,0.77,0,0,86.55,0,0,0,1.53,44.43,0,1.53,0
120,9.8,48.99,5.88,0,11.76,0,1.96,0,1.96,86.23,0,5.88,3.92,0,9.8,1.96,0,3.92,1.96,0,0,19.6,13.72,0,0,0,105.83,0,0,0,0,29.4,0,1.96,0
