stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.94,0,0,0,0,0
  5-6,24.52,140.98,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,12.26,576.19,0,0,0,0,0
  7-9,7.89,0,2.63,0,0,13.14,0,0,0,0,333.85,0,0,0,0,0,0,0,65.72,0,0,0,28.92,89.38,0,0,0,0,0
 10-12,3.15,0,0,0,6.29,3.15,0,0,0,0,195.11,0,0,0,0,0,0,0,47.2,3.15,0,0,6.29,37.76,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,0,21,0,5,0,0,0,2,0,3,0,1,0,0,94,0,0,1,0,0
 24-34,0,0,1.64,9.85,0,0.82,0,0,0,2.46,9.03,0.82,9.03,3.28,0,0,8.21,0,18.06,0,1.64,0,0,164.99,0,1.64,1.64,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0.81,0,0,4.83,3.22,0,1.61,1.61,0,26.59,0,1.61,0,0,107.15,0,0,1.61,0,0
 48-58,0,0,0,1.72,0,1.15,0,0,2.3,0.57,2.3,0,1.72,3.44,0,0.57,5.16,0,11.48,0,1.72,0,0,48.77,0.57,0,2.3,0,0
 60-70,0,0,0,6.87,0,3.93,0.98,0,3.93,0,0,0,0.98,9.82,0,1.96,5.89,0.98,12.76,0,0.98,0.98,0,83.43,0,0,0,1.96,0
 72-82,0,0,0,11.78,2.94,1.96,1.96,0,8.83,2.94,2.94,0.98,0.98,15.71,0,0.98,5.89,0,13.74,0,1.96,0,0,84.42,0,0,0,11.78,0
 84-94,0,0,0,14.87,0,1.06,4.25,2.12,2.12,2.12,4.25,0,4.25,12.74,0,1.06,7.43,0,9.56,0,1.06,0,0,221.97,2.12,0,0,16.99,1.06
 96-106,0,0,0,20.76,0,0,1.09,0,2.19,4.37,0,0,8.74,17.49,0,2.19,9.84,1.09,1.09,0,6.56,0,0,193.43,0,0,0,27.32,0
108-118,0,0,0,24.51,0,3.06,3.06,0,6.89,7.66,0,0,4.6,15.32,0.77,0,5.36,0.77,7.66,0,1.53,0,0,108.77,0.77,0,0,28.34,0
120,0,0,0,25.48,0,1.96,5.88,0,7.84,3.92,0,0,1.96,9.8,0,0,5.88,1.96,1.96,0,1.96,0,0,143.06,0,0,0,17.64,0
