stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,12,0,0,0,1,0,249,3,1,2,1,0,0,0,0,0
 24-34,0,0,2.46,0,2.46,0,0,0,1.64,0,0,0,0,7.39,0,0,0.82,4.1,23.8,0,0,31.19,1.64,2.46,0.82,0,0,298.79,0,0,0,6.57,0,0,1.64,0,0
 36-46,0,0,0.81,0,2.42,0,0,0,2.42,0,0,0,0,4.03,0,0,0,2.42,29.81,0,0.81,21.75,0,0,0,0,0,265.07,0,0,0,4.83,0,0,0.81,0,0.81
 48-58,0,0,2.3,0,10.33,0,2.3,0.57,2.87,0.57,0,0.57,0,2.87,0,0,0,8.03,26.97,0,0.57,21.23,0,1.72,0,0,0,223.78,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0.98,0,0.98,0.98,2.94,0,2.94,0,0,0,0,0.98,0,0,0,5.89,30.43,0.98,0.98,11.78,0,0.98,0,0,0,223.79,0,0.98,0,0.98,0.98,0,0,0,0
 72-82,0,0,4.91,0.98,12.76,0,6.87,0,7.85,0.98,0.98,0,0,2.94,0,0,0,11.78,33.38,2.94,0,14.72,0,0.98,0,0,0,267.99,0,0,0,1.96,0,0,0.98,0,0.98
 84-94,1.06,0,7.43,0,7.43,0,10.62,0,6.37,0,2.12,1.06,0,7.43,0,1.06,1.06,7.43,19.12,0,0,4.25,0,0,0,0,0,378.09,0,0,0,1.06,1.06,0,0,0,0
 96-106,0,0,16.39,2.19,4.37,0,10.93,0,3.28,2.19,0,0,0,4.37,1.09,1.09,1.09,3.28,18.58,0,0,17.49,0,1.09,2.19,0,1.09,507.08,0,0,0,0,1.09,0,0,0,2.19
108-118,0,1.53,13.79,0,1.53,0,14.55,0,5.36,0.77,0,0,1.53,2.3,0,0.77,0,6.89,13.79,0.77,1.53,16.09,0,0.77,0.77,0,0,379.15,0,0.77,0,0,2.3,0.77,0,0.77,0
120,1.96,0,19.6,1.96,1.96,0,15.68,0,0,0,0,0,0,1.96,0,0,0,11.76,11.76,1.96,0,13.72,0,1.96,0,0,1.96,288.09,0,0,0,0,0,0,0,1.96,0
