stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,8,0,0,0,1,1,6,0
 24-34,0,0,0,0,0,0,0,0,42.68,0,0,0,0,0,8.21,0
 36-46,0,0.81,0,0,0.81,0,0,0,73.32,0,0,0,0,0,17.72,0
 48-58,0,0,0,0,1.15,0,0,0,68.86,0,0,0,0,0,17.21,0
 60-70,0,0,0,0,8.83,0,0,0,122.69,0,0,0,0,0,14.72,0.98
 72-82,0,0,0.98,0,1.96,0.98,0.98,0,114.85,0,0,0,0,0,6.87,0
 84-94,0,0,0,0,6.37,3.19,1.06,0,80.71,0,1.06,0,0,0,6.37,0
 96-106,0,0,0,0,6.56,3.28,1.09,1.09,63.39,1.09,1.09,0,0,0,3.28,0
108-118,0,0,0,0.77,0.77,2.3,0,0,47.49,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,54.87,3.92,1.96,0,0,0,3.92,0
