stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,3.28,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,10.47,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,3.44,0,0,3.44,0,0,0,0,0,0.57,0,0,0.57,0.57,0.57,0,0.57,0,0,0,3.44,0,12.62,0,2.3,0,0,0,0,0,0,0,0,0
 60-70,0,20.61,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,8.83,0,0,2.94,0.98,0,4.91,0,14.72,0,4.91,0,0,0,0,1.96,0,0,0,0
 72-82,0,107,0.98,0,19.63,0,0,0.98,3.93,27.49,0.98,0.98,0.98,3.93,0.98,16.69,0.98,0,13.74,0.98,1.96,46.14,0,30.43,0.98,5.89,0,0,0,0,29.45,0,3.93,1.96,0
 84-94,0,270.82,2.12,0,19.12,0,2.12,0,5.31,82.84,0,0,2.12,27.61,0,40.36,1.06,0,14.87,1.06,2.12,32.92,0,108.33,0,24.43,1.06,0,0,1.06,117.89,0,0,0,1.06
 96-106,1.09,468.83,16.39,1.09,43.71,2.19,6.56,0,20.76,207.64,0,1.09,6.56,41.53,2.19,60.11,2.19,0,25.14,3.28,5.46,96.17,2.19,149.72,4.37,43.71,0,1.09,0,2.19,217.48,2.19,4.37,3.28,2.19
108-118,0.77,460.34,3.83,3.83,32.17,1.53,9.96,1.53,14.55,234.38,0,0,0.77,65.87,1.53,53.62,2.3,0.77,30.64,2.3,5.36,70.47,0.77,99.58,0.77,29.87,0,0.77,0,1.53,248.17,1.53,1.53,1.53,1.53
120,0,344.92,0,0,15.68,0,1.96,1.96,5.88,82.31,1.96,0,5.88,39.2,1.96,35.28,0,0,23.52,7.84,1.96,48.99,1.96,58.79,1.96,25.48,0,0,0,5.88,94.07,1.96,1.96,0,3.92
