stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,0,11,6,0,9,0,0,0,1,0,0,1,0,0,0,0,2,0,5,0,0,4,72,1,3,0,0,0,1,0,4,3,4,26,0,0,0,0,0
 24-34,0.82,1.64,6.57,1.64,0,32.83,0,0.82,0,13.13,3.28,0,1.64,0,3.28,0,0,2.46,0,15.6,0,0.82,6.57,242.15,3.28,12.31,0.82,0.82,1.64,0,0.82,5.75,0.82,0.82,62.39,0,0,15.6,0,0
 36-46,0,0.81,5.64,8.06,0,78.15,0.81,1.61,2.42,20.14,0,0,3.22,0.81,0.81,0,0.81,0,0,18.53,0,1.61,2.42,501.13,3.22,13.7,1.61,0,4.03,0,0,2.42,2.42,0,94.26,0,0,8.86,0,0.81
 48-58,1.15,0,10.9,12.05,0,226.65,0.57,0.57,3.44,33.85,0.57,2.3,3.44,1.72,1.15,0,1.15,1.72,0,29.84,0.57,4.02,4.59,680.53,1.72,8.61,2.3,1.15,14.35,0,0,1.72,2.3,0,114.76,0,0,8.61,0,1.15
 60-70,2.94,0.98,7.85,29.45,0,578.12,2.94,4.91,8.83,75.58,2.94,0.98,3.93,2.94,0.98,0,1.96,0,2.94,66.74,1.96,4.91,8.83,937.35,0.98,12.76,3.93,0.98,24.54,0,0,0.98,1.96,0,106,0,0.98,8.83,0,0
 72-82,0.98,0.98,15.71,97.18,0,795.15,0.98,1.96,2.94,119.76,2.94,0.98,3.93,9.82,4.91,1.96,2.94,0.98,0,132.52,0.98,4.91,11.78,915.89,2.94,25.52,13.74,1.96,20.61,0,0,3.93,0,0,78.53,3.93,1.96,33.38,4.91,0.98
 84-94,4.25,1.06,38.23,63.72,1.06,593.68,1.06,4.25,8.5,93.46,5.31,2.12,2.12,10.62,11.68,4.25,1.06,1.06,2.12,95.58,1.06,12.74,9.56,492.79,3.19,13.81,10.62,1.06,80.71,0,0,8.5,3.19,0,41.42,9.56,1.06,26.55,0,0
 96-106,1.09,0,31.69,99.45,1.09,508.17,2.19,3.28,2.19,90.71,10.93,0,4.37,14.21,9.84,4.37,4.37,2.19,0,83.06,3.28,7.65,9.84,427.3,2.19,30.6,13.11,3.28,57.92,0,0,6.56,2.19,0,24.04,21.86,2.19,30.6,9.84,1.09
108-118,3.83,0.77,31.4,51.32,3.83,442.73,3.83,9.19,4.6,91.15,6.89,0,1.53,9.19,10.72,6.13,3.83,4.6,0.77,78.89,0.77,5.36,10.72,497.88,3.06,12.26,10.72,1.53,45.96,0,0,4.6,2.3,0,24.51,23.74,6.13,26.81,2.3,2.3
120,0,3.92,37.24,48.99,0,413.51,9.8,7.84,5.88,72.51,11.76,0,3.92,15.68,9.8,5.88,0,5.88,0,76.43,0,5.88,13.72,574.22,5.88,25.48,7.84,0,52.91,0,0,9.8,1.96,0,29.4,15.68,0,15.68,0,0
