stage,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,3.15,0,0,0,0,0
 14-21,5,0,1,0,0,6,0,1,0,3,0,0,0,55,0,0,0,0,1
 24-34,0.82,0,0,0,0.82,5.75,0,0,0.82,5.75,4.93,0,0,22.98,0.82,0,0,0,0
 36-46,0,0,0,0,0,2.42,0.81,0,0,2.42,8.86,1.61,0,10.47,0.81,0,0,0,0
 48-58,0.57,0,0,0.57,0,1.15,0,0,0,2.3,6.31,0,0,2.87,1.15,0,0,0,0
 60-70,0.98,0,1.96,0.98,0,0,1.96,1.96,0,5.89,4.91,0,0,4.91,0,0,0,0,0
 72-82,1.96,0,3.93,0,0.98,1.96,1.96,0.98,0,3.93,14.72,0.98,0,10.8,0,0,0,0,0
 84-94,1.06,1.06,4.25,1.06,0,0,6.37,2.12,0,3.19,32.92,2.12,0,6.37,0,0,1.06,0,0
 96-106,5.46,1.09,3.28,0,1.09,0,9.84,0,0,4.37,54.64,0,0,16.39,0,0,0,1.09,0
108-118,2.3,0.77,2.3,0,0.77,1.53,9.96,0.77,1.53,2.3,48.26,0,0,13.02,0,0.77,0,0,0
120,1.96,0,1.96,1.96,0,5.88,5.88,0,0,1.96,19.6,0,0,15.68,0,0,0,0,0
