stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,2,1,0,3,0
 24-34,0,0,0,1.64,0,0,0,0,1.64,6.57,0,0,2.46,0
 36-46,0.81,0,0,0,0.81,0,0.81,0,0,7.25,0,0.81,0,0
 48-58,0.57,0,0,2.87,1.15,0,1.15,0,0,4.02,0,0,3.44,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,3.93,0,0,2.94,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,1.09,0,0,1.09,0,0
108-118,0,0,0.77,0.77,0,0,0,0,0,2.3,0,0,0,0
120,0,0,0,1.96,0,0,1.96,1.96,0,1.96,0,0,0,0
