stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,44.69,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,15,0,0,0,0,0,0,2,2,3,9,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,31.19,0.82,1.64,0.82,0,0,0.82,0,0,0,4.93,0,0,0,0
 36-46,0,0,0,1.61,0,6.45,0,0,0.81,0,0,0,0,0,0,2.42,0,0,2.42,27.39,0,0.81,0,0,0,0,0,0,0,8.06,0,0,0.81,0
 48-58,0,0,0,0.57,0,7.46,0,0,1.15,0,0,0,0.57,0.57,0,2.3,0.57,0,0,27.54,0.57,0.57,0,0,0,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,0,0.98,0,30.43,0,0,6.87,0,0,0,0,0,0,10.8,0,0,0.98,120.73,0,0.98,0.98,0,0,0,0,0,0,19.63,0,0,0,0.98
 72-82,0,0.98,0,1.96,0.98,28.47,0,0.98,2.94,0.98,0.98,0,0,0,0,10.8,0,0,0.98,44.17,0.98,3.93,0,0,0,0,0,0,0,2.94,0,0.98,0,0
 84-94,0,1.06,0,1.06,1.06,14.87,0,0,8.5,1.06,0,0,1.06,0,0,10.62,1.06,1.06,0,29.74,1.06,0,1.06,0,0,0,0,0,0,1.06,0,0,2.12,0
 96-106,0,1.09,0,0,4.37,12.02,0,0,8.74,0,0,1.09,1.09,0,1.09,9.84,1.09,0,0,20.76,0,1.09,0,0,0,1.09,0,0,0,3.28,1.09,1.09,1.09,0
108-118,0,0,0,0.77,0.77,9.96,0.77,0,3.83,0,0,0,0,0,1.53,9.19,0,0,0.77,29.87,0,0,1.53,0,0,0,0,0,0,3.83,0.77,0,0.77,0
120,0,0,0,0,1.96,1.96,0,0,3.92,0,0,0,0,0,0,3.92,1.96,0,0,23.52,0,3.92,0,0,1.96,3.92,0,0,0,0,3.92,0,0,0
