stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1515.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,2574.45,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,24.52,0,214.54,0,0,0,0,0,0,0,0,0,0,0
  7-9,44.69,186.64,36.8,0,0,0,375.91,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,4960.38,102.52,0,0,1451.05,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,226.58,56.65,0,3.15,0,276.93,0,0,0,0,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,6523.67,107,0,0,2095.88,0,3.15,3.15,3.15,18.88,0,6.29,15.73,0,0,0,0,0
 14-21,0,0,1,608,3,0,25,0,5,0,48,0,2,0,0,4,0,0,1,0,21,0,0,10,1463,60,2,46,184,0,5,1,259,4,3,61,1083,0,0,1,0,0
 24-34,0,0,0,91.94,0,0,5.75,0,16.42,2.46,11.49,0,0,1.64,0.82,0.82,0.82,0,0,0,8.21,0.82,0,2.46,38.58,9.85,0.82,0,0,0,0.82,0,0,0.82,0,0.82,24.63,0,0,2.46,0,0
 36-46,0,0,0,49.95,0,0,0,0,24.98,1.61,11.28,0,0,0.81,0,0,0,0,0.81,0,14.5,1.61,0,2.42,52.37,7.25,0.81,0,0,0.81,0,0,0,0,0.81,0,18.53,0,0,0,0,0
 48-58,0,0,0,59.1,0,0,10.33,0,48.77,2.3,56.23,0.57,0,0,0,0,0,0,0,0,45.33,0.57,1.15,3.44,44.18,2.87,0.57,0.57,0,0.57,0,0,0,0,0,0,37.3,0,0,0,0,0
 60-70,0,0,0,64.78,2.94,0,14.72,0,29.45,0.98,180.6,0,0,0,0,0,0.98,0.98,0,0,164.9,0,0,0.98,62.82,1.96,0,1.96,0,1.96,1.96,0,0,0,0,0,39.26,0,0,0.98,0,0
 72-82,0,0,0,118.78,5.89,0,84.42,1.96,60.86,7.85,535.99,0,0,0,0,1.96,0,0,0.98,0.98,395.61,1.96,4.91,7.85,147.25,0.98,2.94,4.91,0,0,1.96,0,0,0,0,0,34.36,0.98,1.96,6.87,0.98,0
 84-94,0,0,0,169.93,1.06,0,81.78,0,74.34,7.43,382.33,3.19,0,1.06,2.12,3.19,0,0,1.06,0,311.18,2.12,3.19,4.25,94.52,0,1.06,3.19,0,0,0,0,0,0,0,0,27.61,2.12,3.19,0,0,0
 96-106,0,0,0,515.82,18.58,0,150.81,5.46,140.98,10.93,644.78,4.37,0,5.46,4.37,8.74,1.09,2.19,4.37,1.09,479.76,6.56,7.65,17.49,248.08,2.19,4.37,14.21,0,0,17.49,0,0,2.19,0,0,41.53,6.56,4.37,6.56,2.19,3.28
108-118,0,0,0,765.96,13.02,2.3,79.66,1.53,251.24,15.32,673.28,5.36,0,0.77,3.06,6.13,0.77,1.53,0.77,0,569.11,6.13,3.83,19.15,264.26,1.53,10.72,17.62,0,0,9.19,0,0,0,0,0,30.64,1.53,0.77,2.3,0.77,0.77
120,0,0,0,615.37,11.76,5.88,125.43,1.96,162.66,11.76,907.38,3.92,0,1.96,5.88,1.96,0,0,5.88,0,503.66,7.84,7.84,17.64,403.72,0,5.88,15.68,0,1.96,9.8,0,0,1.96,0,0,39.2,0,5.88,3.92,1.96,0
