stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,7.89,0,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.12,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,1,115,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,4,0,1,9,0,0,9,0,0,0,0,0,0
 24-34,0,0,0,0,27.91,0,0.82,2.46,0,0,0.82,2.46,0.82,0.82,27.09,0,0.82,0.82,0,1.64,32.83,0,0.82,72.24,0.82,0,56.64,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,13.7,0,0,0.81,0,0.81,0.81,5.64,0,0,5.64,0,0,0,0,1.61,22.56,0,0,105.54,0,0,51.56,0,2.42,0,0,0,0
 48-58,0,0,0,0,17.79,0,4.02,0.57,0,1.72,1.72,17.21,0,0,6.31,0,0,0,0,2.3,29.26,0,0,50.49,0.57,0,31.56,0,2.3,0,0,0,1.15
 60-70,0,0,0,0,23.56,0,0.98,0.98,0,1.96,1.96,4.91,0,1.96,2.94,0,0,0,0,0.98,20.61,0,0.98,40.24,0,0,34.35,0,0.98,10.8,0,0,0
 72-82,0,0,0,0,46.14,0,8.83,2.94,0.98,6.87,8.83,4.91,0,3.93,6.87,0,0.98,1.96,0.98,6.87,42.21,0.98,0.98,42.21,2.94,0,55.95,0,0,51.05,0.98,0,0
 84-94,0,0,1.06,0,80.71,1.06,9.56,7.43,1.06,1.06,9.56,8.5,0,5.31,11.68,1.06,3.19,0,1.06,1.06,39.3,1.06,0,36.11,2.12,0,180.55,0,0,170.99,0,1.06,0
 96-106,0,0,1.09,0,118.03,0,10.93,3.28,0,2.19,20.76,2.19,1.09,9.84,7.65,0,1.09,4.37,1.09,6.56,49.18,0,2.19,30.6,1.09,0,99.45,0,2.19,207.64,0,0,0
108-118,0,0,0,0,87.32,0.77,5.36,4.6,0.77,3.83,22.21,0.77,0.77,9.96,12.26,0,0,0.77,0.77,3.06,35.23,0.77,0,26.81,0,0,91.92,0.77,2.3,199.15,0,0,0
120,0,0,0,0,39.2,0,1.96,5.88,0,0,11.76,0,1.96,5.88,5.88,0,1.96,3.92,0,1.96,21.56,1.96,0,19.6,0,0,78.39,0,0,70.55,0,0,0
