stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,179.38,84.97,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,0,114,5,3,0,0,0,6,0,0,0,0,4,0,0,20,0,0,6,192,93,0,2,0,0,17,1,0,6,129,0,0,0,0
 24-34,0,0,0,0,58.28,0.82,9.03,0,2.46,0,31.19,0,0.82,0,0,8.21,1.64,0,55.82,4.93,0,13.13,316.03,9.03,1.64,3.28,0,0,48.43,0,0.82,0.82,178.95,0,0,0,0
 36-46,0,0,0,0,8.06,0.81,12.89,0.81,0,0.81,15.31,0,0,0.81,0,0,0,0,113.6,0,0,27.39,394.78,6.45,0.81,4.03,0,0,37.87,0.81,0,0,125.68,0,0,0.81,0
 48-58,0,0,0,0,16.07,0,20.08,0,0,3.44,11.48,0,0,0,0.57,0,0,0,116.48,0.57,0.57,18.94,305.84,2.87,0,12.62,0,0.57,42.46,0,0,0,75.17,0,0.57,0.57,0.57
 60-70,0,0,0.98,0,30.43,0.98,11.78,0.98,2.94,3.93,10.8,3.93,0,0,0,0,0,0,129.56,0,0,9.82,208.08,3.93,0.98,9.82,0,4.91,43.19,0,0,0,42.21,0,0,0,1.96
 72-82,0,0,1.96,0,29.45,0,11.78,0.98,0.98,7.85,7.85,14.72,0,0,0,0,0,0,152.16,2.94,0,5.89,123.69,0,0,14.72,0,3.93,67.73,0,0,0,26.5,1.96,0,0.98,0
 84-94,0,0,1.06,0,46.73,0,21.24,0,3.19,6.37,9.56,16.99,0,0,0,0,4.25,2.12,129.57,1.06,0,4.25,91.34,0,0,14.87,0,4.25,215.59,0,0,0,22.3,1.06,0,4.25,0
 96-106,0,0,0,0,42.62,0,21.86,1.09,0,2.19,9.84,24.04,0,0,0,2.19,0,2.19,179.23,2.19,0,1.09,69.94,0,1.09,26.23,0,2.19,201.08,0,0,0,13.11,3.28,0,0,0
108-118,0,0,0,0,33.7,1.53,8.43,0,3.06,0.77,4.6,13.02,0.77,0,0.77,2.3,0.77,1.53,164.68,2.3,0,3.83,74.3,2.3,0.77,10.72,0,3.83,130.21,0,0,0,13.79,0.77,0,0,0
120,0,0,0,0,56.83,1.96,9.8,1.96,1.96,5.88,3.92,13.72,0,0,1.96,0,0,0,162.66,1.96,1.96,1.96,74.47,0,0,13.72,0,5.88,99.95,0,0,0,5.88,0,0,0,0
