stage,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,28
 24-34,0.82,0,1.64,0,0,0,0,0,0,0,0,0.82,45.15,0,0.82,0,0.82,0,0,58.28
 36-46,0,0,0,4.83,0,0,0,0,0,0.81,0,0,58.81,0,2.42,0,1.61,0,0,55.59
 48-58,0,0,0,3.44,1.15,0,0,0.57,0,1.15,1.15,0,53.94,0,1.15,0,1.15,0,0,12.62
 60-70,0.98,0,0,8.83,0,0.98,0,0,0,1.96,0,0,60.85,0,1.96,0.98,0,0,0,2.94
 72-82,6.87,0,0.98,0.98,0,0.98,0.98,0,0,1.96,0,0,79.51,0,0,0,0,0,0,3.93
 84-94,3.19,0,0,4.25,0,2.12,1.06,1.06,0,2.12,1.06,0,30.8,0,2.12,0,2.12,1.06,0,1.06
 96-106,4.37,0,1.09,4.37,0,1.09,0,0,0,4.37,1.09,0,34.97,0,2.19,0,0,0,0,1.09
108-118,0.77,0,2.3,0.77,0,1.53,0,0,0.77,0.77,0.77,0,45.19,0,0.77,0,0,0,0,0
120,0,0,1.96,1.96,0,1.96,0,0,1.96,1.96,1.96,0,35.28,0,0,0,1.96,1.96,0,0
