stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,100.7,12.59,0,0,22.03,25.18,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,3,0,0,1,0,0,0,0,1,0,0,0,6,0,0,5,16,3,0,0,2,48,1,4,1,1,4,6,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,0.82,0,1.64,0,0,0,0.82,0,0,0.82,0,6.57,1.64,0,1.64,38.58,4.1,1.64,0.82,0,92.76,0,0,0,0,2.46,3.28,0,0,0,0,0
 36-46,0,0,0,10.47,0,1.61,0.81,0,1.61,0.81,0,0,0,0,0,0.81,0,8.06,0.81,0.81,1.61,27.39,5.64,1.61,0.81,0,59.62,0,0,0,0,0,2.42,0,0,0.81,0,0
 48-58,0,0,0,10.9,0,2.3,1.72,1.15,0,0,0,0,0.57,0,0.57,1.15,0,9.75,1.15,1.15,1.15,28.69,10.33,1.15,1.15,0,45.33,0,0,0,0,0,2.87,0,0.57,1.15,0,0
 60-70,0,0,0,25.52,0,7.85,7.85,0.98,1.96,0,0,0,0,0,0.98,0.98,0.98,15.7,0,0.98,0.98,29.45,10.8,0,3.93,0,67.73,0,0,0,0,0,3.93,0,0,2.94,0,0
 72-82,0,0,0,12.76,0,3.93,9.82,0,2.94,0,0,0.98,0,0,0,4.91,0,19.63,0,2.94,1.96,38.28,12.76,0.98,6.87,0,63.81,0,0,0,0,0,1.96,0.98,0,0.98,0,0
 84-94,0,0,0,55.23,1.06,2.12,22.3,0,2.12,0,0,0,1.06,1.06,0,5.31,0,6.37,0,1.06,0,26.55,21.24,1.06,4.25,0,231.52,0,0,1.06,0,0,3.19,0,0,0,0,0
 96-106,0,0,0,34.97,0,2.19,15.3,0,0,1.09,0,0,1.09,1.09,2.19,10.93,0,12.02,1.09,2.19,1.09,18.58,14.21,1.09,6.56,0,155.18,0,0,0,0,0,2.19,1.09,0,0,1.09,1.09
108-118,0,0,0,55.92,0,4.6,15.32,0,3.06,0,0,1.53,0,4.6,0,3.83,0.77,17.62,0,2.3,0,22.98,22.21,2.3,3.83,0,112.6,0,0,0,0,0,0.77,1.53,0,0.77,0.77,0.77
120,0,0,0,56.83,1.96,1.96,13.72,0,7.84,0,0,0,0,1.96,1.96,3.92,1.96,5.88,0,1.96,0,23.52,29.4,0,7.84,0,148.94,0,0,0,0,0,1.96,0,1.96,0,0,1.96
