stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,47.2,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,10,0,17,28,0,1,1,8,0,0,3,0,2,14,30,0,0,0,0,0
 24-34,0,0,1.64,2.46,36.12,0,0,3.28,0,0,0,0,0,0,0,1.64,5.75,0,13.13,37.76,0,0.82,0,0,0,0,0,0.82,0,2.46,14.78,0,0,11.49,0,0
 36-46,0,0,0,0,69.29,0,0,0.81,3.22,0,0,0.81,0,0,0,0,8.86,0,5.64,52.37,0.81,1.61,0.81,0,0,2.42,0,0,0,0,20.14,0,0,4.03,0,0
 48-58,0,0,0,0,57.38,0,0,5.74,1.72,0,0,0.57,0,0,0,0,5.16,0,3.44,39.59,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0.57,0,1.15
 60-70,0,0,0,0,59.87,0,0,3.93,2.94,0,0,0,0,0,0,0,8.83,0,0.98,34.35,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0.98,0,0,1.96
 72-82,0,0,1.96,1.96,55.95,0,0,3.93,0,0,0,0,0,0,0,0,9.82,0.98,3.93,23.56,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,2.94
 84-94,0,0,1.06,0,75.4,0,1.06,2.12,1.06,1.06,0,0,2.12,0,0,2.12,18.05,0,5.31,9.56,0,0,2.12,0,0,1.06,0,0,0,0,2.12,0,0,0,0,2.12
 96-106,0,0,0,1.09,57.92,1.09,1.09,1.09,3.28,0,0,0,0,0,1.09,0,8.74,0,1.09,21.86,0,1.09,5.46,0,0,0,0,0,0,0,1.09,0,0,2.19,0,2.19
108-118,0,0,0,0.77,72,0,0,2.3,3.06,0.77,0,0,0.77,0,0,0,13.02,0,3.83,16.09,0,0.77,0,0,0.77,3.06,0,0,0,0,1.53,0.77,0,0.77,0.77,1.53
120,0,0,0,0,62.71,0,0,0,0,0,0,0,0,1.96,0,1.96,3.92,0,1.96,27.44,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0,3.92
