stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,0,0,1.06,0,0,2.12,0,0,0,0,0,0
 96-106,0,1.09,1.09,1.09,0,0,0,4.37,0,1.09,0,0,0,0,1.09,0,0,1.09,1.09
108-118,0,1.53,0,0,0.77,0.77,0,5.36,1.53,0.77,0,0,2.3,0,2.3,0,0,1.53,0
120,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,3.92,0,1.96,0,0,1.96,0
