stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,7.89,0,15.77,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,1,0,1,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,22.98,0,0,0,0,0,0.82,1.64,0,0.82
 36-46,0,0,0.81,0,0,0,0,0.81,0,0,0,1.61,0,0,28.2,0,0,0,0,0,0,1.61,0,1.61
 48-58,0,0,1.15,0.57,0,0,0.57,0,0,0,0,0.57,0,0,28.12,0,0,0,0,0,0,0,0,4.59
 60-70,0,0,0.98,3.93,0,0.98,0,0,0,0,0,1.96,0.98,0,66.74,0,0,0.98,0,0,0,0.98,0,5.89
 72-82,0,0,0,1.96,0,0,3.93,0,0,0,0.98,3.93,0.98,0,110.93,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,2.12,7.43,1.06,0,3.19,0,0,1.06,0,0,0,0,69.03,0,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,4.37,0,0,2.19,0,0,0,1.09,1.09,0,0,72.13,0,0,2.19,0,0,0,0,0,1.09
108-118,0,0,0.77,5.36,0,0.77,2.3,0,0,0,0.77,0.77,0,0,58.21,1.53,0,0,0,0.77,0,0,0.77,5.36
120,0,0,0,7.84,0,0,5.88,0,0,0,0,0,0,0,88.19,0,0,1.96,0,0,0,3.92,0,3.92
