stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,7.89,0,2.63,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.75,10.51,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.79,3.15,0,0,31.47,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,16,3,0,7,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,9,70,1,0,1,2,0,3,0,5,1,1,9,18,0,0,0,0,0
 24-34,0,0,0,0.82,12.31,0,0,10.67,0,0.82,0.82,5.75,0,0.82,0.82,1.64,0,0,0,0,27.09,0,0,10.67,160.89,0,1.64,1.64,0,0,61.56,0,0,1.64,1.64,4.1,38.58,0,0,4.93,0,0
 36-46,0,0,0,0,2.42,0.81,0,15.31,5.64,0.81,1.61,10.47,0,0.81,0.81,0.81,0,0,0,0,30.62,0,2.42,7.25,121.66,0,1.61,2.42,0,0,45.92,0,0,0.81,2.42,0,29,0,0,4.83,0,1.61
 48-58,0,0,0.57,0,4.02,0,0,8.03,5.74,1.72,1.72,14.92,0,0.57,0.57,0.57,0.57,1.15,0.57,0.57,38.44,0,1.15,6.31,66.56,1.15,0.57,0,0,0,28.12,0,0,0.57,3.44,0,15.49,0,0,2.3,0,1.72
 60-70,0,0,0,0,5.89,0,0,14.72,7.85,3.93,1.96,14.72,0,0.98,0,0,1.96,0,0,0.98,29.45,0,0.98,6.87,79.5,0,0,0,0,0,18.65,0,0,0.98,4.91,0,14.72,0,0.98,4.91,0,0.98
 72-82,0,0,0.98,0,3.93,1.96,0,21.6,4.91,0.98,0.98,24.54,0,0,0.98,0.98,0.98,3.93,0,0,46.14,0.98,0,7.85,78.53,0,0,1.96,0,0.98,20.61,0,0,0,1.96,0,11.78,0,0.98,6.87,0,1.96
 84-94,0,0,0,0,12.74,3.19,0,15.93,2.12,2.12,0,10.62,2.12,1.06,1.06,6.37,1.06,1.06,2.12,1.06,29.74,1.06,2.12,5.31,42.48,0,1.06,2.12,0,0,62.66,0,0,1.06,8.5,0,2.12,2.12,3.19,6.37,5.31,0
 96-106,0,0,0,0,3.28,2.19,1.09,19.67,8.74,1.09,0,16.39,2.19,0,1.09,6.56,2.19,2.19,1.09,0,19.67,0,4.37,3.28,42.62,1.09,2.19,2.19,0,1.09,32.79,0,0,1.09,3.28,0,5.46,0,0,6.56,2.19,1.09
108-118,0,0,0,0,10.72,0.77,0.77,9.19,6.13,3.06,0.77,14.55,4.6,0,1.53,7.66,3.83,0.77,4.6,1.53,16.09,0.77,1.53,2.3,55.15,0.77,2.3,0,0,1.53,34.47,0,0,0.77,4.6,0,0.77,0,1.53,1.53,1.53,2.3
120,0,0,0,0,11.76,0,0,11.76,0,1.96,0,13.72,3.92,0,1.96,5.88,0,0,1.96,0,11.76,0,3.92,13.72,48.99,0,1.96,3.92,0,0,17.64,0,0,0,0,0,5.88,0,0,7.84,1.96,0
