stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,31.47,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,7,34,9,0,0,0,0,0,1,1,1,1,0,2,0,0,0,12,0,0,7,25,11,0,0,0,0,20,0,1,1,15,22,37,0,0,0,0,0
 24-34,0,0,2.46,24.63,0.82,0,0.82,0,0.82,0,0.82,0,0,0.82,0,1.64,0,0.82,0,33.66,0.82,0.82,18.06,50.07,8.21,3.28,0.82,0,0,38.58,0,0,0.82,1.64,6.57,73.06,0,0,7.39,0,0
 36-46,0,0,0,7.25,0,0,3.22,0.81,4.83,0,3.22,1.61,0,0,0,0,0,0,0,22.56,0,0,4.03,74.12,6.45,0,1.61,0,0,36.26,0,0,0.81,0,0,78.15,0,0,2.42,0,0
 48-58,0,0,0,10.33,0,0,6.89,0,2.87,0.57,8.03,0,0,0.57,0,0.57,0.57,0.57,0,26.97,0,0,2.87,91.23,0,0.57,0,0,0,25.25,0,0,0.57,0,0,71.15,0,0,5.16,0.57,0.57
 60-70,0,0,0,14.72,0,0,13.74,0,4.91,1.96,4.91,1.96,0,0.98,0,0,0.98,0,0,19.63,0,0,1.96,158.03,0.98,0,0,0,0.98,27.48,0,0,0.98,0,0,77.54,0,0,3.93,0,0
 72-82,0,0,0,21.6,1.96,0,14.72,0.98,2.94,2.94,7.85,0,0,0.98,0,1.96,0,0,0.98,34.36,0,0.98,3.93,186.52,0.98,0.98,0,0,0,36.32,0,0,0.98,0,0,48.1,0.98,0.98,8.83,0.98,0
 84-94,0,1.06,0,37.17,0,0,21.24,1.06,8.5,1.06,8.5,1.06,0,0,0,5.31,0,1.06,0,12.74,0,1.06,1.06,87.09,1.06,0,1.06,0,0,93.46,0,0,0,0,0,31.86,1.06,3.19,5.31,1.06,0
 96-106,0,0,0,38.25,1.09,1.09,8.74,0,6.56,1.09,5.46,3.28,0,1.09,0,3.28,0,1.09,3.28,10.93,2.19,1.09,1.09,67.76,0,2.19,5.46,0,1.09,69.94,0,0,2.19,0,0,12.02,3.28,0,5.46,1.09,0
108-118,0,0,0,44.43,1.53,3.83,10.72,0,16.85,0.77,3.83,3.06,0,1.53,1.53,2.3,1.53,0.77,0.77,6.89,0,1.53,5.36,100.34,0,0.77,1.53,0,1.53,58.98,0,0,0,0,0,8.43,6.13,0,6.13,1.53,0.77
120,0,0,0,80.35,1.96,1.96,9.8,0,11.76,0,3.92,0,0,0,0,1.96,1.96,0,0,5.88,0,1.96,1.96,121.51,1.96,0,5.88,0,0,68.59,0,0,0,0,0,5.88,5.88,0,0,0,0
