stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,24.52,288.09,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0
  7-9,7.89,2.63,2.63,0,0,7.89,0,0,5.26,0,0,0,0,115.66,0,0,34.17,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,44.06,3.15,0,6.29,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2
 24-34,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0,13.13,0,0,0,0,0,3.28
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0,0,0,6.45,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,1.72,0.57,0,0,0.57,0,0.57,4.02,0,0,0,0,0,1.15
 60-70,0,0,0,0,0,2.94,1.96,0,0,0,0.98,0,0.98,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,2.94,0.98,0,3.93,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,3.28,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0.77,0,0,0,0,3.06,0,0,1.53,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0
