stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
 24-34,3.28,10.67,0,0,0,0,0,0,4.1,0,0,0,4.93,0,0,0,0,0,0,0,0,0,25.45,1.64,0,0.82,0,0
 36-46,1.61,1.61,0,0,0,0,0,0,5.64,0,0,0,8.06,0,0,0,0.81,3.22,0.81,0,0,0,16.11,1.61,0,0,0,0
 48-58,2.3,0.57,0,0,0,1.72,0,0,9.75,0,0,0,11.48,1.15,0,0,0,2.87,0,0,0,0,8.61,0.57,0,0.57,0,0
 60-70,3.93,0,0,0,0,0,0,0,23.56,0,0,0,8.83,0.98,0,0,0,3.93,0,0,0,0,17.67,0,0,0,0,0
 72-82,14.72,0.98,0.98,0.98,1.96,4.91,0,0,105.04,0,0,0,31.41,1.96,0,0,0,19.63,0,0,0,0,30.43,1.96,0,0,0,0
 84-94,14.87,1.06,1.06,2.12,12.74,6.37,0,0,157.18,1.06,0,0,67.97,2.12,0,0,1.06,12.74,0,0,1.06,0,58.41,0,3.19,0,0,0
 96-106,20.76,4.37,4.37,3.28,13.11,5.46,0,5.46,222.94,0,0,0,121.31,8.74,1.09,1.09,2.19,45.9,0,1.09,3.28,0,57.92,0,4.37,1.09,1.09,1.09
108-118,10.72,3.83,1.53,0,20.68,6.13,0.77,6.13,163.15,0.77,0.77,0,157.79,4.6,0,0,1.53,22.98,0,0,0,0,45.19,0,3.06,0,0,0.77
120,9.8,3.92,1.96,0,3.92,1.96,0,0,145.02,1.96,0,1.96,174.42,3.92,0,0,1.96,19.6,0,0,1.96,1.96,47.03,0,1.96,0,0,0
