stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,382.16,3426.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0,0
  5-6,294.22,3671.65,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.59,18.39,0,0,30.65,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,18.4,0,0,10.51,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,357.5,7.89,0,0,97.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0,1.64,0,0,3.28,9.03,0,0,0,0,0,0,0,0,0,0.82,0.82,2.46,0,0,2.46,0
 36-46,0,0,0,0,0,8.06,2.42,0,0,0,0,0,0,5.64,0,0.81,0,0,0,3.22,0,0,0,12.09,0,0,0,0,0,0,0.81,0,0,0,0,4.83,0,0,0.81,0
 48-58,0,0,0,0,0.57,1.72,0.57,0,0.57,0.57,0.57,0,0,5.74,1.15,0,0,0,0,3.44,0,0.57,0,8.03,0,1.15,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,3.93,0,0,0,0,0,0.98,6.87,0,0,0,0,0.98,7.85,0,0.98,0.98,14.72,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0.98
 72-82,0,0,0,0,1.96,7.85,0.98,0,0,2.94,1.96,0,0,18.65,0.98,0,0,0.98,0,10.8,0,0.98,0,14.72,0,2.94,0,0,0,1.96,0,0,0,0,0,0.98,0,0.98,6.87,0
 84-94,0,0,1.06,0,1.06,13.81,4.25,4.25,0,2.12,11.68,0,1.06,32.92,3.19,0,0,1.06,0,5.31,1.06,2.12,0,10.62,0,3.19,3.19,0,0,9.56,0,0,1.06,0,0,4.25,2.12,0,6.37,0
 96-106,0,0,0,0,5.46,6.56,6.56,2.19,0,1.09,4.37,0,1.09,34.97,1.09,0,0,0,0,21.86,2.19,1.09,2.19,20.76,0,7.65,0,0,1.09,38.25,0,0,0,0,0,0,4.37,1.09,9.84,2.19
108-118,0,0,1.53,0,12.26,3.83,1.53,1.53,0.77,3.83,3.06,0,0,32.94,5.36,1.53,0.77,0.77,0.77,16.09,2.3,1.53,1.53,13.79,0,2.3,1.53,0,0.77,14.55,0.77,0,0,0,0,2.3,4.6,1.53,8.43,0
120,0,0,0,0,11.76,1.96,3.92,3.92,0,0,1.96,0,1.96,29.4,1.96,1.96,0,0,0,3.92,0,0,0,19.6,0,5.88,0,0,0,41.16,0,0,0,0,0,0,0,0,5.88,0
