stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,5,37,0,0,0,0,0,2,0,1,1,15,20,22,0,0,0,0,0
 24-34,0,0,1.64,0,0,2.46,2.46,0,0,2.46,0.82,0,0,0,0,0,0,0,4.1,0,0,17.24,221.63,0.82,0.82,0.82,0,0,2.46,0,0,0,19.7,25.45,100.97,0,0,0,0,0
 36-46,0,0,4.03,0,0,9.67,4.03,0,0,2.42,0.81,0,0,0,0,0,0,0,20.14,0,0.81,3.22,385.11,0,1.61,0,0,0,2.42,0.81,0,0,17.72,3.22,141.8,0,0,0.81,0,0
 48-58,0,0,1.72,0,0,41.89,1.72,0,0.57,5.74,0,0,0,0.57,0,0,0,0.57,18.36,0,0.57,4.02,609.95,1.15,0,0.57,0,0,1.15,0,0,0,6.31,0,131.98,0,0,0.57,0,1.15
 60-70,0,0,0.98,0,0,127.6,0.98,0,0.98,3.93,0,0,0,0,0.98,0,0,0,13.74,0,0,0,1125.81,0,0.98,2.94,0,0,1.96,0,0,0.98,0.98,0,165.88,0,0.98,0.98,0,0.98
 72-82,0,0,6.87,0.98,0,183.57,0,0.98,0.98,14.72,0,0,0,0,0,0,0,0,15.71,0.98,0,0.98,1056.27,0.98,0,0.98,0,0,2.94,0,0,0.98,0,0,155.1,2.94,1.96,0,0,0.98
 84-94,0,0,5.31,2.12,0,101.96,1.06,2.12,1.06,16.99,1.06,0,0,0,0,0,0,2.12,20.18,1.06,0,1.06,551.2,0,1.06,0,0,0,5.31,0,0,0,0,0,73.28,1.06,4.25,1.06,2.12,0
 96-106,0,0,6.56,1.09,0,79.78,1.09,1.09,0,25.14,0,0,0,3.28,0,3.28,0,2.19,16.39,1.09,1.09,0,454.62,1.09,3.28,1.09,0,1.09,0,0,0,0,1.09,0,33.88,4.37,1.09,1.09,0,0
108-118,0,0,9.96,0.77,0.77,65.87,0,0,1.53,14.55,2.3,0,0,0.77,0,1.53,0,2.3,6.89,0.77,0,1.53,460.34,0,0.77,1.53,0,0,0.77,0,0,0,0.77,0,21.45,2.3,0,0,0,2.3
120,0,0,9.8,3.92,1.96,101.91,0,1.96,0,23.52,1.96,0,1.96,0,0,1.96,1.96,0,7.84,0,0,1.96,652.61,0,1.96,1.96,0,0,3.92,0,0,5.88,1.96,0,47.03,3.92,1.96,1.96,0,0
