stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,5,0,0,21,0,0
 24-34,0,0,0,0,0.82,0,0,0,27.09,0.82,0,30.37,0,0
 36-46,0,0,0,3.22,0,0,0.81,0,53.98,0,0,42.7,0,0
 48-58,0,0,0,5.16,0.57,0,0.57,0.57,77.46,0,0.57,37.3,0,0.57
 60-70,0,0,0,13.74,0,0.98,0,0,137.41,0,0,25.52,0,0
 72-82,1.96,0.98,0,28.47,0.98,0,2.94,0,160.01,0,0,18.65,0,0
 84-94,0,1.06,0,10.62,4.25,1.06,0,2.12,83.9,0,0,10.62,0,0
 96-106,0,0,0,13.11,2.19,0,1.09,0,65.57,0,0,8.74,1.09,0
108-118,0,1.53,0.77,20.68,3.06,0.77,0.77,0,64.34,1.53,0.77,3.06,0,0
120,0,1.96,0,11.76,7.84,0,1.96,3.92,82.31,0,0,5.88,0,0
