stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,10.51,0,0,21.03,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,181.38,7.89,0,0,70.98,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,147.91,15.73,0,0,59.79,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,1,6,3,1,0,0,0,87,0,0,0,0,0,0,1,8,0,0,1,53,0,0,14,6,0,3,91,1,1,255,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,84.55,0.82,0,0,0.82,0.82,1.64,0,8.21,0,0,1.64,51.71,2.46,13.13,3.28,0,1.64,0,55,0,2.46,191.26,0,0.82,0,0
 36-46,0,0,0,0,0,14.5,0,0,0,52.37,0,0,0,0,0,0,0,5.64,0,0,0,57.2,0,18.53,0.81,0,0,0,16.92,0,0,102.32,0,0,0,0
 48-58,0,0,0,0,0,17.21,0,0,0,62.54,0,0,0,0,0,2.3,1.15,7.46,0,0,0,41.31,0,16.64,4.02,0,0.57,0,6.89,0,0,91.81,0,0.57,0,0
 60-70,0,0,0,0,0,32.39,0,0,0.98,45.15,0,0,0,0,0,6.87,0,7.85,0.98,0,0,34.35,0,18.65,12.76,0,0,0,1.96,0,0,42.21,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,25.52,0.98,0.98,0,46.14,0.98,0,0,0,0,13.74,0,12.76,0,0.98,0,29.45,0,23.56,24.54,0,0,0,3.93,0,0,24.54,0,0,0,0
 84-94,0,0,1.06,7.43,1.06,16.99,0,0,0,22.3,1.06,0,2.12,0,0,10.62,0,5.31,0,1.06,2.12,24.43,0,40.36,31.86,0,0,0,13.81,0,0,25.49,1.06,4.25,0,0
 96-106,0,0,2.19,2.19,2.19,8.74,0,1.09,0,24.04,1.09,0,0,1.09,0,27.32,0,6.56,0,0,1.09,20.76,0,46.99,42.62,0,1.09,0,6.56,0,0,15.3,0,2.19,1.09,0
108-118,0,0,3.06,0,1.53,8.43,0,0,0,10.72,0,0,0.77,0,0,13.79,0.77,7.66,0,0.77,2.3,23.74,0,33.7,20.68,0,0,0,9.19,0,0,16.85,0,0.77,0,0
120,0,0,0,5.88,9.8,9.8,0,0,0,13.72,1.96,0,0,0,0,9.8,0,3.92,0,0,0,19.6,0,23.52,23.52,0,0,0,7.84,0,0,11.76,0,0,0,0
