stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,2,1,1,0,0,0,1,0,0,0,1,6,1,0,0,0,0,2,4,0,0
 24-34,0.82,0,0,0,0.82,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,5.64,0,0
 48-58,0,0,1.72,0,0.57,0,0,0,0,0,0,4.59,0,0,0,0,0,0,1.72,0.57,0
 60-70,0,0,1.96,0.98,1.96,0,0,0,0,4.91,0,0.98,0,0,0,0,0,0,2.94,0,0
 72-82,0,0,2.94,0,0,0,0,0,0,2.94,0,1.96,0,0,0,0,0,0,1.96,0,0
 84-94,1.06,0,0,0,0,0,0,0,0,5.31,0,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,2.19,2.19,0,4.37,1.09,0,0,0,5.46,0,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0.77,0.77,2.3,0,0.77,0,0.77,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0
