stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,1,1,0,5,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,1,47,0,1,0,1,0,8,4,9,15,0,0,0,0,0
 24-34,0,0,1.64,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0.82,2.46,0,0,0,35.3,1.64,0,1.64,0,0,12.31,0,0.82,5.75,0,0,1.64,0,0
 36-46,0,0,0.81,0.81,0,6.45,0,0,0,0,0,0,0,0.81,0,0,0,0,0,4.03,0,0,2.42,36.26,0,0,0,0,0,16.92,0,0,5.64,0,0,1.61,0,0
 48-58,0,0,1.15,0,0,17.21,0,0,1.15,6.89,0,0.57,0,0,1.15,0.57,0,0.57,0,8.03,0,0.57,1.15,34.43,0.57,0,1.15,0,0.57,10.33,0,0,8.03,0,0,1.72,0,0
 60-70,0,0,2.94,0,0,9.82,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0,0,1.96,0,0.98,0,5.89,0.98,0,0.98,0,0,15.7,0,0,0.98,0,0,0.98,0,0
 72-82,0.98,0,2.94,0,0,9.82,0,0,0.98,15.71,0.98,0,0,0,2.94,0.98,0.98,0,0,16.69,0.98,0.98,1.96,8.83,0.98,0.98,0.98,0,0,12.76,0,0,0,1.96,0,0.98,0.98,0.98
 84-94,2.12,0,8.5,3.19,0,11.68,0,4.25,1.06,15.93,2.12,1.06,0,3.19,3.19,2.12,2.12,1.06,0,18.05,2.12,1.06,0,32.92,0,1.06,1.06,0,0,70.09,0,0,1.06,4.25,0,3.19,1.06,1.06
 96-106,1.09,0,20.76,1.09,0,10.93,0,0,0,16.39,0,0,0,1.09,2.19,0,0,0,0,18.58,2.19,1.09,2.19,10.93,1.09,1.09,4.37,0,1.09,17.49,0,0,3.28,4.37,0,3.28,4.37,0
108-118,0,0.77,18.38,0.77,1.53,33.7,0,3.83,0.77,34.47,1.53,0,2.3,3.06,6.89,3.06,3.83,3.06,0,32.17,2.3,1.53,3.06,49.79,0.77,2.3,4.6,0,0.77,36.77,0,0,3.83,6.13,0,6.89,5.36,2.3
120,0,0,11.76,0,0,15.68,0,3.92,1.96,19.6,3.92,0,0,0,5.88,1.96,0,0,0,5.88,0,5.88,5.88,19.6,0,0,3.92,0,0,29.4,0,0,3.92,0,1.96,7.84,0,0
