stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,4,6,1,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,2,0,0,1,6,0,0,0,0,91,0,0,8,4,0,0,0
 24-34,0,4.1,2.46,0,0,0,0,0,0.82,0.82,0,7.39,0,0,3.28,0,0,0.82,0,3.28,1.64,0,0,39.4,0.82,1.64,0,0,234.76,0,0.82,0,18.06,0,0,0
 36-46,0,3.22,2.42,0.81,0,4.03,0,0.81,4.83,0,0,4.83,0,0.81,0,0,0,0,0.81,3.22,1.61,0,0.81,101.51,0.81,3.22,0,0,257.81,0,0,0,20.95,0,0,0
 48-58,0,1.72,1.72,0,0,8.61,0,0.57,5.16,3.44,0.57,7.46,0,0.57,0,0,0,0,0,6.89,0.57,0,3.44,107.88,0,1.15,0,0,169.27,0.57,0,0,21.23,0,0,0
 60-70,0,0,0,0,0,53.98,0.98,0.98,6.87,2.94,0,0,0.98,0,1.96,0.98,0,0,0,4.91,2.94,0,0.98,222.81,0,0,0,0,151.15,0,0,0,23.56,0,0,0.98
 72-82,0,0.98,0.98,1.96,0,69.7,0,0,5.89,5.89,0,2.94,0,0,0,0.98,0,0,0.98,7.85,0.98,0,0,204.19,0,1.96,0,0,140.38,0,0,0,16.69,0,0,0.98
 84-94,0,0,2.12,0,1.06,37.17,0,4.25,9.56,3.19,1.06,8.5,0,0,5.31,0,1.06,0,1.06,4.25,3.19,1.06,0,89.21,0,4.25,0,0,580.93,1.06,0,0,1.06,0,3.19,1.06
 96-106,0,1.09,6.56,2.19,0,30.6,0,1.09,3.28,4.37,0,2.19,0,0,3.28,0,0,0,0,2.19,3.28,0,0,73.22,1.09,1.09,0,1.09,312.55,0,0,0,2.19,1.09,1.09,1.09
108-118,0,0.77,3.83,0,0,24.51,0.77,1.53,3.06,2.3,0,0,0,0,2.3,0,0.77,0,0.77,5.36,6.13,0.77,8.43,87.32,1.53,3.06,0,0,267.32,0,0,0,1.53,3.06,0,0
120,0,0,5.88,1.96,0,19.6,0,5.88,0,3.92,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,84.27,1.96,0,0,0,145.02,0,0,0,1.96,0,0,0
