stage,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,neural,paraxial_mesoderm,vasculature
  7-9,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0
 14-21,0,2,1,1,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,0,1.06,2.12,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0.77,0.77,0,0,0,5.36,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,1.96,0,0
