stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19,0,0,0,0,0,1,0,24,0,0,0,2
 24-34,0,0,0,0,2.46,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0,150.22,0,1.64,0,0,0,4.93,0,56.64,0,0,0,0
 36-46,0,0,0,0,6.45,0,0,0,0.81,0.81,0,0,0,0,0,0,0.81,0,0,465.68,0,0.81,0,0,1.61,4.03,0,124.07,0,0,0,0
 48-58,0,0,1.15,0,35,0,0,0,5.74,0,0,0,0,0,0,0,1.72,0,1.72,570.36,0.57,1.15,0.57,0,0,4.59,0,117.06,0,0,0.57,0
 60-70,0,0,0,0,130.54,0,0,0,32.39,0,0,0,0,0,0,0,2.94,0,0.98,1109.12,0,0,0,0,1.96,5.89,0,169.8,0,0,0,0.98
 72-82,0.98,0,2.94,0.98,114.85,0,0,0,29.45,13.74,0,0,0,0,0,0.98,11.78,0,0,787.29,0,3.93,0,0,0,12.76,0,84.42,0.98,0,0,0
 84-94,0,0,2.12,1.06,90.27,1.06,0,0,15.93,20.18,0,0,0,0,0,0,7.43,1.06,1.06,362.15,0,0,1.06,0,1.06,40.36,1.06,44.61,0,1.06,0,0
 96-106,1.09,0,5.46,2.19,62.29,0,1.09,0,9.84,84.15,1.09,2.19,0,0,0,0,13.11,0,2.19,339.88,0,1.09,0,0,3.28,43.71,0,16.39,0,0,0,0
108-118,0,0,8.43,0.77,41.36,0,0,0.77,9.19,101.11,0,0.77,0,0.77,1.53,0,3.83,0.77,0,314.04,0,1.53,0,0.77,1.53,30.64,0,13.79,0.77,0.77,0.77,0
120,0,0,7.84,1.96,37.24,0,0,0,1.96,50.95,0,0,0,0,0,0,0,0,0,309.65,1.96,3.92,0,0,1.96,17.64,0,31.36,0,0,0,0
