stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,18.39,741.69,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.47,0,0,0,36.8,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,3.15,18.88,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,169.94,3.15,0,0,50.35,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,2,12,3,5,0,0,2,1,0,0,0,0,0,0,0,0,6,0,0,5,93,3,2,2,3,0,2,11,1,11,40,0,1,0
 24-34,0,0,0,0.82,3.28,0,19.7,0,0,4.1,0,0,1.64,0,0,0,0,0,0.82,21.34,0,0,6.57,168.28,2.46,0,0.82,0,0,4.1,0,0,2.46,35.3,0,4.1,0
 36-46,0,0,0,0,1.61,0,18.53,0,0,6.45,0.81,0,0,0,0,0,0,0,0,8.06,0,0,2.42,91.04,0.81,0.81,0,0,0,0.81,0,0,0,17.72,0,0.81,0
 48-58,0,0,0.57,0,2.3,0,28.12,0.57,0.57,8.03,0,0,0.57,0,0,0,1.72,0,0,22.95,0.57,0,3.44,61.97,0.57,1.15,1.15,0,0,2.3,0,0,0,16.07,0.57,1.15,0
 60-70,0,0,0,0,0,0,18.65,0,0,7.85,0,0,0,0,0,0,0,0,0,14.72,0,0,0.98,17.67,0.98,0,0,0,0,0,0,0,0,4.91,0,1.96,0
 72-82,0,0,0,0,0.98,0,7.85,0,0,11.78,0.98,0,0,0,0,0.98,0,0,0,28.47,0,0.98,2.94,24.54,0,0,1.96,0,0,0,0,0,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,0,1.06,0,15.93,0,1.06,8.5,1.06,0,0,0,1.06,0,0,0,0,18.05,0,1.06,5.31,14.87,1.06,0,0,0,0,4.25,0,1.06,0,1.06,0,4.25,0
 96-106,0,0,0,0,9.84,1.09,6.56,0,0,8.74,1.09,0,1.09,3.28,1.09,0,2.19,1.09,0,14.21,0,0,1.09,6.56,0,1.09,1.09,0,1.09,4.37,0,0,0,2.19,1.09,2.19,1.09
108-118,0,0,0,0,3.83,0,9.19,0,1.53,8.43,0.77,0,0,0.77,0,0,0,0.77,0,7.66,0.77,0,1.53,22.21,0.77,0,0,0,0,0,0,0,0,1.53,0,2.3,1.53
120,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,7.84,0,0,1.96,3.92,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0
