stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,13.14,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,56.65,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,2,0,0,16,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,5.75,0.82,0,0,0,0,0,0.82,4.93,0,2.46,73.06,0.82,0,0,0,0,0,0,0.82,26.27,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,7.25,3.22,0,0,0,0,0,0,6.45,0,0,98.29,3.22,0,0,0,0,0,0,0,30.62,0,0,0,0
 48-58,0,0,0,0,0,0,0,12.62,6.89,0,0.57,0,0,0,0.57,2.87,0,0.57,124.52,3.44,0,0,0,0,0,0,0,20.08,0,0,0,0
 60-70,0,0,0,0,0,0,0,28.46,14.72,0,0,0,0,0.98,0,9.82,0,0.98,148.21,0,0,0,0,0,0,1.96,0,19.63,0,0.98,0.98,0
 72-82,0,0,0,0,0,0,0,32.39,7.85,0,0.98,0,0.98,0,0,20.61,0,0,138.41,1.96,0.98,0,0,0,0,0,0,9.82,0,0,1.96,0
 84-94,0,0,1.06,0,0,0,0,28.68,7.43,0,1.06,1.06,0,0,0,5.31,2.12,0,67.97,2.12,0,0,0,0,0,0,0,5.31,1.06,0,1.06,1.06
 96-106,0,0,0,0,2.19,0,0,19.67,9.84,0,0,1.09,0,0,0,18.58,0,1.09,66.66,1.09,1.09,0,0,0,0,0,0,5.46,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0.77,15.32,6.13,0,0.77,0.77,0.77,0,0.77,9.19,0,0,59.75,1.53,0,0,0.77,0,0,0,0,2.3,0,0.77,0.77,0
120,0,0,0,0,7.84,0,0,17.64,5.88,1.96,1.96,0,0,0,0,7.84,0,1.96,68.59,1.96,0,0,0,0,0,0,0,3.92,0,0,0,0
