stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,52.57,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,17,0,0,1,0,0,0,0,3,0,0
 24-34,0,0,0,0.82,0,0,1.64,7.39,0,0,0,0,3.28,0,0.82,135.44,0,0,0,0,0,4.93,0.82,15.6,0,0.82
 36-46,0,0,0,0,0,0,28.2,15.31,0,0,0,0,1.61,0,0,262.65,2.42,0,0,0,0,3.22,0,33.03,0,0
 48-58,0,0,0,0,0,0,34.43,37.3,0,1.15,0,0,1.72,0,0,100.42,2.87,0.57,0,0,0,1.15,0,17.79,0,0
 60-70,0,0,0,0.98,0,0,36.32,35.33,0,2.94,0,0.98,4.91,0,0,31.41,3.93,0,0,0,0,3.93,0,1.96,0,0
 72-82,0,0,0,0,0,1.96,16.69,50.06,0,7.85,0,1.96,5.89,1.96,0,28.47,2.94,0.98,0,0.98,0,0.98,0,6.87,0.98,0.98
 84-94,0,0,0,4.25,0,2.12,16.99,28.68,0,14.87,0,4.25,2.12,0,0,25.49,10.62,4.25,0,0,0,6.37,0,2.12,0,0
 96-106,0,0,0,1.09,0,0,17.49,28.41,1.09,9.84,1.09,1.09,7.65,0,1.09,13.11,7.65,1.09,0,0,0,5.46,0,7.65,0,0
108-118,0,0,0,6.13,0.77,6.89,7.66,26.04,0,12.26,0,3.06,13.02,0.77,0,26.04,8.43,2.3,0,0,0.77,3.06,0,3.83,0,0
120,0,0,0,1.96,0,0,3.92,21.56,0,9.8,0,3.92,3.92,0,0,33.32,1.96,0,0,0,0,0,0,0,0,0
