stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,liver,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,197.67,3175.88,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0
  5-6,300.35,5296,18.39,0,0,6.13,0,153.24,30.65,79.69,263.57,0,0,0,0,0
  7-9,110.41,149.84,257.61,0,651.92,184.01,0,4148.11,144.58,1813.81,68.35,18.4,0,2.63,0,0
 10-12,0,185.67,311.55,31.47,575.9,129.03,3.15,4773.95,210.85,1995.18,31.47,31.47,15.73,220.29,37.76,12.59
