stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,1,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,3,2,9,0,232,41,6,0,0,0,0
 24-34,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,2.46,13.13,0,0,0,0,2.46,0,0.82,178.13,1.64,2.46,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,2.42,3.22,0,2.42,12.09,0,0,0,0,1.61,0,0,147.44,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,4.02,2.3,0,0.57,1.15,0,0,0,0,0,0,2.87,0,1.72,9.75,0.57,0,0,0,0,0,0,118.78,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,2.94,16.69,0,0,1.96,0.98,0,0,0,0,0,3.93,0,6.87,5.89,0,0,0,0.98,0.98,0,0,80.48,0,1.96,0,0,0,0
 72-82,0,0,1.96,1.96,15.71,19.63,0,1.96,4.91,0,0.98,0,0,0,0,16.69,0,4.91,22.58,0,0.98,0,0.98,0,0,0,33.38,0,1.96,0,0,0,0.98
 84-94,0,0,2.12,3.19,19.12,26.55,0,0,1.06,0,0,1.06,0,0,0,12.74,0,7.43,23.36,0,0,2.12,0,3.19,0,0,73.28,0,2.12,0,2.12,1.06,1.06
 96-106,1.09,0,4.37,4.37,24.04,29.51,1.09,3.28,6.56,2.19,1.09,0,4.37,2.19,1.09,9.84,2.19,6.56,28.41,0,1.09,1.09,1.09,5.46,0,0,65.57,0,1.09,1.09,0,3.28,2.19
108-118,0,0,0.77,0.77,9.19,31.4,0,0,0.77,0.77,1.53,0,0,0,0,4.6,0,1.53,16.85,0,0,0,0,1.53,0,0,46.72,0,2.3,0.77,0,0.77,0
120,0,0,3.92,1.96,1.96,17.64,0,0,1.96,0,0,0,0,0,0,1.96,0,0,15.68,0,0,1.96,0,1.96,1.96,0,21.56,0,0,0,0,1.96,0
