stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,119,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,2,0,14,0
 24-34,0,1.64,29.55,0,0.82,0,0.82,0,0,0,1.64,91.12,0,1.64,0,0,0.82,2.46,0,0,1.64,9.85,0.82,0,0,0,0.82,0,0,0.82,0,4.93,0,55.82,0.82
 36-46,0,0,1.61,0,4.03,0,0,0,0,0,0.81,106.35,0,0.81,0,0,0,0.81,0,0,0,12.09,0,0,0,0,0,0,0,0,0,1.61,0,29.81,0.81
 48-58,0,0.57,0,0,0,0,0,0,0,0,3.44,105.01,0,0,0,0,1.15,1.72,0,0,0,11.48,0.57,0,0,0,0,0,0,0,0,7.46,0,39.02,0
 60-70,0,0,0.98,0,1.96,0,0,0,0.98,0,3.93,105.02,0,0,0,0,0,0.98,0,0,0,9.82,0,0,0,0,0,0,0,0,0,1.96,0,31.41,0.98
 72-82,0,0,8.83,0,3.93,0.98,0,0.98,1.96,0.98,4.91,202.22,0,0,0,0,0.98,5.89,0,0,0,11.78,0.98,0,0,0,0.98,0,0,0,0.98,4.91,0,75.59,0
 84-94,0,1.06,6.37,0,4.25,0,0,0,0,0,0,245.33,0,0,0,0,4.25,7.43,0,0,0,8.5,0,0,0,0,0,0,0,0,0,1.06,0,62.66,0
 96-106,0,2.19,15.3,0,6.56,0,0,0,1.09,1.09,8.74,323.48,0,0,0,2.19,4.37,7.65,0,0,0,8.74,3.28,0,0,1.09,2.19,0,0,0,0,0,0,107.1,0
108-118,0,0.77,9.96,0.77,3.83,0,0,1.53,0.77,0.77,0.77,243.58,0,0,0.77,0,0.77,5.36,0.77,1.53,1.53,9.19,0.77,0,0,0,0.77,0,0,0.77,0,0.77,0,75.83,0
120,0,0,9.8,0,1.96,0,0,0,3.92,0,0,231.25,1.96,1.96,0,0,0,1.96,0,0,1.96,15.68,0,1.96,0,0,0,0,0,0,0,0,1.96,54.87,0
