stage,blastomeres,epidermis,eye,glial,heart,iridophores,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,10.67,0,0,0,0,0.82,5.75,0,0
 36-46,0,0,0,0,0,0,0,0.81,13.7,0,0,0,0,0,3.22,0.81,0
 48-58,0,0,1.72,1.15,0,0,0.57,0,10.9,0,0,0,0,1.15,1.15,0,0
 60-70,0,0.98,2.94,1.96,0,0,0,0.98,9.82,0,0.98,0,0,0,0,0,0
 72-82,0,0,1.96,0.98,0.98,0,0,1.96,6.87,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,4.25,0,0,2.12,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,1.09,0,3.28,1.09,0,0,0,0,0,0,0
108-118,0,0,1.53,2.3,0,0.77,0,1.53,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,1.96,0,0
