stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,52.71,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0
  5-6,110.33,1820.5,6.13,0,0,0,0,0,0,0,0,79.69,12.26,0,18.39,24.52,0,0,0,0,0
  7-9,21.03,34.17,55.2,0,0,115.66,0,0,42.06,0,0,1309.1,7.89,0,509.97,0,5.26,0,0,0,0
 10-12,0,15.73,25.18,0,6.29,44.06,0,0,3.15,0,0,437.43,3.15,0,242.32,0,6.29,0,15.73,3.15,0
 14-21,0,0,0,2,0,4,0,2,0,4,3,95,2,0,5,1,0,9,0,8,36
 24-34,0,0,0,0.82,0,3.28,0,1.64,0,6.57,3.28,43.51,0,1.64,0,0,0,0,0,3.28,15.6
 36-46,0,0,0,1.61,0.81,3.22,0,0,0,9.67,1.61,34.64,0,0.81,0,0,0,0,0,0,6.45
 48-58,0,0,0,0,0,2.3,0,1.72,0,8.03,0,6.89,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,1.96,0,4.91,0.98,2.94,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,0,0.98,0.98,0.98,0,2.94,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,2.12,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,2.19,5.46,0,3.28,1.09,2.19,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.53,1.53,0,1.53,0,2.3,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0
