stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,5.75,0.82,0,0.82,0,67.31,0,0,0,0.82,0,0,0,4.1,0,0,0,0,0,0,2.46,0,0
 36-46,0,0.81,0,0,0,0,108.77,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0.81,4.83,0,0
 48-58,0,4.02,1.72,0,0,0,93.53,0,0,0,1.15,0,0,0,5.16,0,0,0,0,0.57,0,9.18,0,0.57
 60-70,0,11.78,1.96,0,0,0.98,105.02,0.98,0,0,3.93,0,0,0,5.89,0,0,0,0,0,0.98,11.78,0,0
 72-82,0,21.6,4.91,0,1.96,0.98,162.96,0,0,0,7.85,0,0,0,3.93,0,0,0,0,0,0.98,25.52,0,0
 84-94,0,16.99,0,1.06,2.12,0,191.17,0,0,0,3.19,0,1.06,1.06,5.31,0,0,0,0,0,0,12.74,0,0
 96-106,2.19,44.81,7.65,0,1.09,1.09,262.28,0,1.09,1.09,13.11,1.09,1.09,0,13.11,0,1.09,0,0,0,0,37.16,1.09,0
108-118,1.53,29.87,7.66,0,1.53,0,202.98,0,0,0,6.13,0,0,0.77,6.89,0.77,0,0,2.3,0,0,24.51,0,0.77
120,3.92,48.99,1.96,0,0,0,211.66,0,1.96,0,1.96,0,0,1.96,11.76,0,0,0,0,0,0,41.16,0,0
