stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,3,0,0,0,5,1,1,0,0,0,9,0,0,0,0,0
 24-34,0,0,0.82,0,5.75,0,0,2.46,0,0,0,0.82,0,0,0,0,6.57,0,0.82,0.82,0,0.82,0.82,0,2.46,29.55,1.64,5.75,0,22.98,0,0,3.28,0,1.64,13.13,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,3.22,0,0.81,0,1.61,0,0.81,0,0,2.42,0,2.42,0,0.81,4.83,2.42,0,1.61,92.65,0,0.81,2.42,27.39,0,0,0,0,0,18.53,0,0,1.61,0,0
 48-58,0,0,0.57,0,2.87,0,0,14.35,0,1.15,0,3.44,0.57,0.57,0,0.57,1.15,0,1.15,0,2.3,10.33,0.57,0.57,1.72,126.81,0,2.3,2.3,20.08,0,0,0,0,0,30.41,0,0,0,0,0
 60-70,0,0,0,0,5.89,0,0,35.33,0,0.98,0.98,4.91,0.98,0,0.98,0,1.96,0,0,0,0,12.76,0.98,0,0,215.93,0,4.91,3.93,19.63,0,0,0,0,0,28.46,0,0,0,0,0.98
 72-82,0,0,1.96,0,7.85,1.96,0,85.4,0,0.98,1.96,14.72,6.87,0,0.98,3.93,4.91,0,2.94,0,0.98,25.52,2.94,0,2.94,257.2,0.98,5.89,1.96,33.38,0,0,0.98,0,0,19.63,0,0,4.91,0,0
 84-94,0,0,1.06,0,21.24,1.06,0,65.85,0,6.37,1.06,13.81,9.56,0,0,2.12,3.19,1.06,1.06,1.06,1.06,16.99,3.19,0,1.06,105.14,1.06,7.43,5.31,61.6,0,0,0,0,0,13.81,1.06,0,2.12,0,0
 96-106,0,0,1.09,0,19.67,1.09,1.09,44.81,0,2.19,0,9.84,8.74,0,0,3.28,6.56,0,2.19,0,0,16.39,2.19,0,2.19,102.73,2.19,7.65,9.84,59.01,0,0,1.09,0,0,5.46,1.09,0,6.56,1.09,0
108-118,0,0,0,0,23.74,0,2.3,50.55,0.77,7.66,0.77,10.72,11.49,0,0.77,3.06,8.43,0,1.53,0.77,0,27.57,0,0,2.3,120.26,0,9.19,9.19,57.45,0,0,2.3,0.77,0,3.06,2.3,0.77,6.89,0,0
120,0,0,0,0,15.68,0,0,39.2,0,3.92,0,3.92,5.88,0,0,1.96,1.96,0,3.92,0,0,9.8,1.96,1.96,1.96,129.35,1.96,3.92,5.88,37.24,0,0,1.96,0,0,5.88,0,0,5.88,0,0
