stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,49,2,1,1,2,5,0,2,20,0,0
 24-34,0,0,0,0.82,0.82,0.82,11.49,0,0.82,0,0,0,0,0,0,0,2.46,0.82,0,1.64,54.18,0,0.82,0,5.75,0,0,0,12.31,0,0
 36-46,0,0,0,0,1.61,0,34.64,0,1.61,0,0,0,0,0,0,0.81,1.61,0.81,0,0,56.4,0.81,0,0,1.61,0,0,0,17.72,0,0
 48-58,0,0,0,0,1.15,0,26.4,0.57,2.87,0.57,0,0,0,0,0,0,3.44,0,0.57,1.15,29.84,0,0.57,0,1.15,0,0,0,4.59,0,0.57
 60-70,0,0,0,0,5.89,0,12.76,0,1.96,1.96,0,0,0,0,0,0,4.91,0.98,0,0,5.89,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,1.96,0,3.93,0,2.94,0,0.98,0.98,0,0,0,0,5.89,0,0,1.96,13.74,0.98,0,0,2.94,0,0.98,0,1.96,0,0
 84-94,0,0,0,0,2.12,0,9.56,0,5.31,4.25,1.06,2.12,1.06,0,1.06,0,1.06,0,2.12,0,14.87,0,0,0,2.12,0,1.06,0,1.06,1.06,0
 96-106,0,0,0,0,1.09,0,0,0,2.19,3.28,1.09,1.09,0,1.09,0,0,1.09,1.09,0,0,9.84,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,2.3,0,1.53,0,0,0,0,0,0.77,0,2.3,0,0.77,0.77,5.36,0,0.77,0,2.3,0,0,0,0,0.77,0
120,0,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,7.84,0,0,0,0,0,0,0,0,0,1.96
