stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,15.77,21.03,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,15.73,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,2,2,3,0,1,0,3,6,16,3,0
 24-34,0,0,0,0,0.82,1.64,0,0,3.28,4.93,9.03,0,0,0,0,2.46,7.39,2.46,0
 36-46,0,0,0,0,1.61,7.25,0,0,2.42,0.81,5.64,0,0,0,0,1.61,0.81,1.61,0
 48-58,0,0,0,0,0,4.02,0.57,0,1.15,1.72,1.15,0,0,0,0,1.72,0,1.72,0
 60-70,0,0,0,0,0,6.87,0,0,0.98,5.89,0.98,0,0.98,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,1.96,0.98,0,0,0,0,1.96,0,0,0.98
 84-94,0,0,0,0,1.06,5.31,0,0,0,5.31,2.12,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0,0.77,0.77,3.83,0.77,0,0,0,0,2.3,0,0,2.3
120,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96
