stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,52.71,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,49.04,686.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,30.65,18.39,0,0,0,0,0,0,0
  7-9,21.03,21.03,0,31.54,0,0,86.75,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,507.34,31.54,0,0,189.27,0,0,2.63,0,0,0,0,0
 10-12,3.15,22.03,0,18.88,0,0,40.91,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,462.6,12.59,0,0,144.76,0,0,18.88,0,0,0,0,0
 14-21,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,8,0,0,0,0,1,3,0,0,4,8,1,0
 24-34,0,0,0,0,0,0.82,6.57,0,0.82,0,1.64,0,0,0.82,0,0,0,0,0.82,0,0,4.1,62.39,0,1.64,1.64,0,4.93,0,0,0,2.46,16.42,0,0
 36-46,0,0,0,0,0,0,8.06,0,0.81,0.81,0.81,0,0,0,0,0,0,0.81,4.83,0,0,3.22,57.2,0,0,0.81,0,3.22,0,0,0.81,0,16.11,2.42,0
 48-58,0,0,0,0,1.15,0,23.53,0,0,0.57,8.03,0,0,0.57,0.57,0,0,0.57,7.46,0,0,1.72,51.07,0.57,0,1.72,0,1.15,0,0,0,0,17.79,0.57,0.57
 60-70,0,0,0,0,2.94,0,15.7,0.98,0,0,8.83,0,0,0.98,0,0,0,0.98,8.83,0,0,0.98,27.48,0.98,0.98,0,0,0.98,0,0,0,0,2.94,0,0.98
 72-82,0,0,0,0,1.96,0,21.6,0,0.98,0,7.85,0,0,0,0,0,0,0,9.82,0,0.98,1.96,31.41,0,0,0,0,2.94,0,0,0,0,5.89,2.94,0
 84-94,0,0,0,0,3.19,3.19,20.18,0,1.06,0,6.37,1.06,0,0,0,1.06,0,0,15.93,0,0,1.06,16.99,0,0,0,0,5.31,0,0,0,0,2.12,1.06,0
 96-106,0,0,0,0,1.09,1.09,16.39,0,0,0,5.46,0,0,0,0,1.09,0,0,8.74,0,1.09,0,14.21,0,1.09,0,0,2.19,0,0,1.09,0,1.09,0,0
108-118,0,0,0,0,2.3,0.77,6.13,0,0,0,1.53,1.53,0,0,0,0.77,0.77,1.53,0.77,0,0,2.3,11.49,0,0,0,0,3.06,0,0.77,0,0,1.53,0,1.53
120,0,0,1.96,0,1.96,1.96,5.88,0,0,0,3.92,1.96,0,0,0,0,0,0,3.92,3.92,0,0,21.56,0,0,0,0,3.92,0,0,0,0,0,0,1.96
