stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,heart,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,taste,vasculature,visceral_smooth_muscle
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,1.15,0,0.57,0,4.02,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,2.94,2.94,0,0,0,9.82,0,0,0,0,3.93,0,0
 72-82,0,0,0.98,0,3.93,0.98,0,0,0,3.93,0,0,0,0,21.6,0.98,0
 84-94,0,1.06,1.06,0,3.19,1.06,1.06,0,1.06,4.25,0,0,0,0,107.27,0,0
 96-106,0,0,1.09,0,4.37,1.09,1.09,0,1.09,2.19,1.09,1.09,0,0,137.7,0,0
108-118,0,0,0.77,0,3.83,0,0,0,0.77,3.06,0,0,0,0,142.47,0,0
120,0,0,1.96,0,3.92,0,0,0,0,3.92,0,0,0,1.96,54.87,0,1.96
