stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.18,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,4,21,7,0,22,0,0,0,3,1,1,3,0,0,1,0,1,29,19,0,0,10,123,5,2,2,4,0,6,1,12,0,0,15,45,0,0,0,0,70
 24-34,0,3.28,6.57,97.68,18.88,0,274.99,1.64,5.75,2.46,36.12,6.57,1.64,8.21,6.57,13.95,13.13,11.49,9.03,133.8,184.69,4.93,0.82,96.04,2138.33,23.8,21.34,19.7,0,0,121.49,0,0.82,9.85,9.85,48.43,408.79,0,0,67.31,0,260.21
 36-46,0,1.61,0.81,37.87,4.03,0,269.9,1.61,4.03,8.06,39.48,0.81,0,8.06,4.83,3.22,7.25,0.81,6.45,181.28,142.6,0.81,3.22,36.26,1267.32,12.89,13.7,13.7,0,0.81,70.09,0,1.61,6.45,0.81,2.42,294.07,0,0.81,26.59,0,304.54
 48-58,0,0,0,18.36,2.3,0,414.86,2.3,1.15,9.75,78.04,1.15,0.57,4.02,1.15,1.72,16.64,2.3,1.15,131.98,150.91,1.15,2.87,30.99,805.05,2.3,5.74,8.03,0,0.57,23.53,0,0.57,2.3,1.72,0,178.45,0,0,13.2,0,385.6
 60-70,0,0,0,6.87,1.96,0,277.77,5.89,2.94,2.94,44.17,0,0,0,4.91,0.98,4.91,2.94,2.94,78.52,82.45,0.98,7.85,8.83,376.9,0.98,3.93,6.87,0,1.96,16.69,0,0,0,0.98,0,55.95,0,2.94,7.85,0.98,391.63
 72-82,0,0,0,9.82,14.72,0,244.43,2.94,3.93,15.71,64.79,1.96,0,0,1.96,0.98,7.85,1.96,1.96,62.83,117.8,0.98,3.93,4.91,297.44,1.96,3.93,9.82,0,3.93,14.72,0,0,0.98,0,0,23.56,0.98,3.93,7.85,4.91,396.59
 84-94,0,2.12,0,20.18,13.81,0,368.53,2.12,4.25,3.19,50.98,3.19,0,2.12,7.43,2.12,19.12,1.06,4.25,99.83,96.65,0,9.56,7.43,177.36,1.06,1.06,14.87,0,3.19,33.99,0,0,1.06,0,0,10.62,3.19,2.12,8.5,5.31,258.08
 96-106,0,0,0,28.41,22.95,0,327.85,3.28,5.46,4.37,52.46,13.11,0,3.28,10.93,1.09,6.56,2.19,5.46,63.39,114.75,1.09,3.28,8.74,212.01,0,4.37,14.21,0,5.46,39.34,0,0,1.09,1.09,0,10.93,2.19,2.19,5.46,6.56,290.7
108-118,0,0,0,19.15,13.79,3.06,189.96,0,6.89,1.53,41.36,6.89,0,0.77,9.19,3.83,9.19,4.6,10.72,88.09,86.55,1.53,3.83,8.43,185.36,3.06,1.53,16.09,0,2.3,22.21,0,0,0,0,0,2.3,2.3,3.83,6.13,0.77,269.62
120,0,0,0,3.92,5.88,0,88.19,1.96,1.96,3.92,21.56,3.92,1.96,0,7.84,0,3.92,1.96,1.96,33.32,43.12,1.96,11.76,1.96,82.31,1.96,3.92,3.92,0,1.96,11.76,0,0,0,0,0,1.96,1.96,5.88,1.96,1.96,121.51
