stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,3,0,0,1,0,0,0,0,0,24,2,0,0,0,0,0,0
 24-34,0,2.46,0,0,2.46,10.67,0,0,0,0,0,0,0,0,0,0,5.75,0,0.82,0,0,1.64,12.31,0,0,0,0,0,0,0,0.82,32.01,4.1,1.64,0,0,1.64,0,0
 36-46,0,0,0,0,4.03,54.79,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,2.42,16.11,0,0,0,0,0,0.81,0,0.81,41.89,0.81,4.03,0,0,0,0,0
 48-58,0,0.57,0.57,0,9.18,70,0,1.15,1.72,0,0,0,0,0,0,0,0.57,1.15,4.59,0,0,7.46,23.53,0,0,0,0,0,1.72,0,0,45.9,0,9.75,0,0,0.57,0,0.57
 60-70,0,2.94,0.98,0,12.76,59.87,0,0,5.89,0,0,1.96,1.96,0,0,0,0,0,8.83,0,1.96,5.89,20.61,0.98,0.98,0,0,0,1.96,0,0,33.37,0,0.98,0,0,0.98,0,0
 72-82,0,0.98,0.98,0,18.65,74.61,0,0,9.82,0,0,0,1.96,0,0.98,0,4.91,0.98,9.82,0,0.98,7.85,12.76,0.98,0,0.98,0,0,3.93,0,0.98,21.6,0,2.94,0,0,0.98,0,0
 84-94,0,5.31,2.12,0,22.3,204.97,0,0,7.43,0,0,0,4.25,0,0,1.06,18.05,1.06,8.5,0,0,8.5,22.3,0,0,2.12,0,0,8.5,0,1.06,71.16,0,0,2.12,0,1.06,0,1.06
 96-106,0,8.74,4.37,2.19,60.11,327.85,0,1.09,26.23,7.65,0,4.37,15.3,2.19,1.09,0,96.17,0,26.23,3.28,0,15.3,46.99,0,1.09,8.74,0,1.09,18.58,0,8.74,68.85,0,2.19,0,2.19,2.19,4.37,0
108-118,0,5.36,2.3,9.96,75.83,318.64,1.53,0,26.04,51.32,0,3.83,6.13,3.83,0.77,0.77,410.56,0.77,14.55,0.77,0,21.45,46.72,0,0,15.32,0.77,0,28.34,0,13.79,86.55,0,0,0.77,0,3.06,6.89,3.83
120,0,15.68,1.96,7.84,50.95,182.26,0,0,5.88,74.47,0,1.96,3.92,0,0,0,229.29,0,21.56,0,0,17.64,43.12,0,3.92,13.72,0,0,50.95,1.96,9.8,31.36,0,0,0,3.92,0,1.96,0
