stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,0.82,0,0,0.82,2.46,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,1.61,0,0,0,0.81,0.81,96.68,0,0,0,0,0,4.83,0,0
 48-58,0,0,0.57,0,4.02,0.57,0.57,0.57,0,0,0,0,2.87,0,71.73,0,0.57,0,0,0,5.74,0,0.57
 60-70,0,0,0,0,8.83,0,0,0,0,0.98,0,0,0,0,113.86,0,0,0,0,0,3.93,0,0
 72-82,0,0,2.94,0,27.49,0,0,1.96,1.96,0,0,0,1.96,0,151.18,0,0,0,0.98,0.98,7.85,0,0
 84-94,0,0,0,0,18.05,0,0,0,4.25,0,0,0,1.06,0,79.65,0,1.06,0,0,0,2.12,1.06,0
 96-106,0,0,0,2.19,26.23,0,0,0,2.19,1.09,0,0,1.09,0,97.26,0,1.09,0,0,2.19,1.09,1.09,0
108-118,0,0,3.06,0,17.62,0,0,0,3.06,0.77,0.77,0.77,0.77,0,117.19,0.77,0,0,0,0,3.83,0,0
120,0,0,0,0,21.56,0,0,0,3.92,0,0,0,0,0,105.83,0,0,0,0,1.96,7.84,0,0
