stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,1,0,3,1,0,0,1,0,2,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,1.64,1.64,10.67,0,0,0.82,0,0,3.28,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0
 48-58,0,1.15,1.72,0,0,0,0,0,0.57,0,0.57,5.16,0,0,0.57,0,0,1.15,0,0
 60-70,0,1.96,0.98,0,0,0,0,0,0,1.96,0.98,6.87,0,0,1.96,0,0,0.98,0,0.98
 72-82,0,0,0.98,0.98,1.96,0,0,0,0,0,0,5.89,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,2.12,0,1.06,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,1.09,0,0,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,1.96,0,1.96,0,1.96,0,0,0,3.92,1.96,7.84,0,0,1.96,0,0,0,0,1.96
