stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,42.91,1121.72,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,18.39,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,28.92,15.77,39.43,0,0,92,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,680.84,26.29,0,0,249.73,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,25.18,22.03,0,6.29,88.12,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,450.02,15.73,0,0,191.97,0,0,0,0,18.88,0,0,0,0,0,0
 14-21,0,0,2,19,4,4,0,0,0,3,1,1,0,1,0,0,0,0,2,10,0,7,108,5,0,3,3,0,0,1,15,3,2,13,45,3,0,0
 24-34,0,0,0,4.1,1.64,19.7,0,2.46,0,2.46,0,0,0.82,0.82,0.82,0.82,0,2.46,0,9.03,0,3.28,128.05,1.64,0,1.64,0,0,4.1,0,0,0,0.82,2.46,19.7,0.82,0,0
 36-46,0,0,0,1.61,1.61,24.98,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,2.42,0,0,55.59,0.81,0.81,0,0,0,4.03,0,0,0,0,0,12.09,0.81,0,0
 48-58,0,0,0,0.57,0,39.02,0,0.57,1.15,3.44,0.57,0,0,0.57,0,0,0,0,0,5.16,0.57,0.57,24.1,0,0.57,0,0,0,0.57,0,0,0,0.57,0,2.87,0,0,0.57
 60-70,0,0,0,1.96,0,23.56,0.98,0,0,0.98,0.98,0,0,0.98,0.98,0,0.98,0,0,4.91,0,0,19.63,0,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,2.94,0,9.82,0,0,0,1.96,0,0,0,0,0,0,0,0,0,7.85,0,0.98,28.47,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,10.62,0,1.06,0,3.19,0,0,0,1.06,0,0,0,0,0,10.62,0,1.06,10.62,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,1.09,1.09,4.37,0,0,1.09,2.19,0,0,0,0,0,0,0,0,0,1.09,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,6.89,0,0,0,2.3,0,0,0,0.77,0,0,0.77,0,0,0.77,0,0,6.89,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,5.88,0,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,15.68,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
