stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,7,0,0,2,18,0,0,1,0,0,0,4,1,3,4,0,0,0
 24-34,0,0,0,1.64,0,2.46,0,0.82,0,0,0,0,0,0,0,0,0,5.75,0,0,4.1,32.83,21.34,0,0.82,0,0,4.1,0,0,2.46,4.93,0,0.82,0
 36-46,0,0,0,1.61,0,3.22,0,0,0,0,0,0.81,0,0,0,0,0,9.67,0,0,0.81,26.59,10.47,0,0,0,0,0.81,0,0,0,3.22,0,0,0.81
 48-58,0,0,0,1.15,0,11.48,0,2.3,2.3,0.57,0,0,0.57,0.57,0,0,0,15.49,0,0.57,1.15,20.66,16.64,0,0,0,0,0.57,0,0,0,4.02,0,1.15,0.57
 60-70,0,0,0,1.96,0,6.87,0,0,3.93,0,0,0,0,0,0,0,0,16.69,0,0.98,1.96,14.72,11.78,0,0,0,0,0,0,0,0,0,0,1.96,0
 72-82,0,0,0.98,0.98,0.98,11.78,0.98,0,4.91,0,0,0,2.94,0,0.98,0.98,0,14.72,0,0.98,3.93,24.54,4.91,0,0,0,2.94,1.96,0,0,0,1.96,0,1.96,0
 84-94,0,0,0,3.19,0,5.31,0,1.06,1.06,0,0,0,2.12,2.12,0,0,1.06,16.99,0,1.06,1.06,10.62,13.81,0,0,0,0,1.06,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,3.28,2.19,4.37,0,0,2.19,1.09,0,0,2.19,0,0,1.09,0,14.21,1.09,0,4.37,6.56,26.23,2.19,1.09,0,0,2.19,0,0,0,2.19,3.28,2.19,1.09
108-118,0,0,0.77,4.6,0,5.36,0.77,1.53,3.06,0.77,0,0,1.53,0,0,0,0,8.43,0,0.77,2.3,13.02,6.13,0,0,0,0,2.3,0,0,0,0.77,3.06,0.77,0
120,0,0,0,9.8,3.92,1.96,1.96,0,0,1.96,0,0,7.84,1.96,1.96,0,0,13.72,0,0,3.92,21.56,21.56,0,0,0,0,7.84,0,0,0,1.96,0,3.92,0
