stage,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,9,1,1,0,1,1,0,0,0,1,1,0,0,2,25,0,0,0,0,0,5,0,4,10,0,0,0
 24-34,0,0,1.64,0,0,1.64,0,0,0,0,0,4.1,0,0,1.64,19.7,0,0.82,0,0,2.46,0,0,0,2.46,0.82,0,0
 36-46,0,0,4.83,0,0,0,0,0,0,0,0,1.61,0,0,1.61,14.5,0,0,0,0,0.81,0,0.81,0,0.81,0,0,0.81
 48-58,0,0.57,3.44,0,0,0.57,0,0,0,0,0,4.02,0,0,1.72,5.74,0,0,0,0,0.57,0,0,0,0.57,0.57,0,0
 60-70,0,0,3.93,0,0,0.98,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0.98,3.93,0,0,1.96,0,0,0.98,0.98,0,11.78,0,0,0.98,6.87,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0
 84-94,0,1.06,3.19,0,0,1.06,0,0,0,0,0,5.31,0,1.06,0,4.25,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,0,0,0,0,8.74,0,1.09,0,2.19,1.09,1.09,1.09,0,3.28,0,0,0,2.19,0,1.09,0
108-118,0.77,1.53,2.3,0,0.77,0.77,0,0,0,0,0,4.6,0.77,0,0,3.83,0.77,0,0,0,0.77,0,0,0,0,1.53,0,0
120,0,0,0,0,0,0,0,1.96,0,1.96,0,5.88,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
