stage,epidermis,eye,glial,hatching_gland,lateral_line,liver,mesenchyme,neural,notochord,olfactory,otic,pronephros,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,5.26,0,0,0,2.63,2.63,0,0,0,0,0
 14-21,0,0,2,0,0,0,1,3,0,0,0,0,2,0
 24-34,0,0,1.64,0,0,0.82,0,3.28,0,1.64,0,2.46,11.49,0
 36-46,0,0.81,1.61,0,0,0,0,5.64,0,0.81,0,0,4.83,0
 48-58,0,0,1.72,0,0.57,0,0,1.72,0,1.15,0,0.57,2.87,0
 60-70,0,0,4.91,0,0,0,0.98,4.91,0,0,0.98,0,6.87,0
 72-82,0,0,2.94,0,0,0,0.98,0,0,1.96,1.96,0.98,0.98,0.98
 84-94,0,0,2.12,0,0,0,0,1.06,0,2.12,0,0,1.06,0
 96-106,0,0,4.37,0,2.19,0,0,1.09,0,0,0,0,0,0
108-118,0.77,0,3.06,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0
