stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,heart,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,12.26,0
  7-9,2.63,2.63,2.63,0,5.26,0,2.63,0,0,0,31.54,0,15.77,0,0
 10-12,0,3.15,3.15,0,3.15,0,3.15,0,0,0,44.06,3.15,22.03,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
 24-34,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0.81,0,0.81,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,2.87,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0
