stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,periderm,pronephros,slow.muscle,spinal.cord,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,5.75,0.82,0,0,0,1.64,0,1.64,1.64,0,0,0,0.82,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0,4.83,0,0,0,4.03,3.22,0
 48-58,0,0,0,1.15,0.57,2.87,0,0,0,0,0,0,5.16,0,0,0,1.15,1.15,0
 60-70,0,0,0.98,0,0,0.98,0,0.98,0,0,3.93,0,2.94,0,0,0,1.96,1.96,0
 72-82,0,0,0,1.96,0.98,1.96,0,0,0,0,3.93,0,11.78,0,0,0,2.94,0.98,0
 84-94,0,0,0,2.12,0,1.06,0,0,0,2.12,1.06,0,4.25,2.12,1.06,0,7.43,1.06,0
 96-106,0,0,0,2.19,4.37,1.09,1.09,0,1.09,0,3.28,0,3.28,0,0,0,9.84,0,1.09
108-118,0,0.77,0,2.3,2.3,0.77,0,0,0.77,0,3.83,2.3,6.13,1.53,1.53,0,12.26,0,0
120,0,0,0,0,5.88,0,0,0,0,0,1.96,1.96,3.92,1.96,0,0,3.92,0,0
