stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,269.7,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,0,2.63,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,144.58,5.26,0,0,55.2,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,81.82,6.29,0,0,37.76,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,12,2,3,0,0,0,3,2,0,0,0,1,0,0,1,5,0,0,3,69,6,2,1,5,0,4,0,5,1,0,7,19,0,0,3,0,1
 24-34,0,0,0,0,10.67,0.82,21.34,0,0,1.64,0,1.64,0,0,0,0.82,0,0,0.82,13.13,0,0,6.57,118.2,1.64,0.82,1.64,0,0,15.6,0,0,0,0,0,27.09,0,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,21.75,0.81,0,0.81,4.03,0,0,0.81,0,0,0,0.81,0,15.31,0,0,3.22,120.85,2.42,2.42,0.81,0,0,8.86,0,0,0.81,0,0,35.45,0,0,1.61,0,1.61
 48-58,0,0,0,0,3.44,0,33.28,0,0,0.57,6.89,0.57,0.57,0,0,0,0.57,0,0.57,20.08,1.72,0.57,4.02,114.76,0.57,0.57,0.57,0,0,5.74,0,0,0,0,0,22.38,0,0,1.72,0,0
 60-70,0,0,0,0,1.96,0,74.6,1.96,0,0.98,5.89,0.98,0,0,0,0,1.96,0,0.98,23.56,0,0,1.96,127.6,1.96,0,3.93,0,0,3.93,0,0,0,0,0,18.65,0,0,1.96,0,0.98
 72-82,0,0,0.98,0,2.94,2.94,48.1,0,0,0,18.65,3.93,0,0.98,0.98,0,0,0,0,32.39,0,0,1.96,97.18,0.98,0,0,0,0,5.89,0.98,0,0.98,0,0,5.89,0,0.98,0.98,1.96,0.98
 84-94,0,0,0,0,4.25,0,27.61,1.06,0,1.06,8.5,7.43,0,1.06,1.06,0,1.06,1.06,1.06,12.74,1.06,1.06,1.06,39.3,0,2.12,0,0,0,20.18,0,0,0,1.06,0,5.31,0,0,0,1.06,3.19
 96-106,0,0,0,0,5.46,3.28,20.76,0,1.09,1.09,13.11,2.19,0,2.19,2.19,1.09,0,0,0,19.67,0,0,2.19,24.04,0,4.37,3.28,0,0,16.39,0,0,0,0,0,2.19,1.09,0,0,0,0
108-118,0,0,0,0,6.13,0.77,17.62,0.77,1.53,3.06,6.89,0.77,0,0.77,0,0,1.53,0,0,17.62,0,0.77,3.83,42.13,0.77,1.53,4.6,0,0.77,11.49,0,0,0,0,0,0,0,0,4.6,0,1.53
120,0,0,0,0,3.92,0,11.76,0,0,0,5.88,1.96,0,0,3.92,1.96,0,0,0,7.84,0,0,1.96,48.99,0,1.96,1.96,0,0,9.8,0,0,0,0,0,9.8,0,0,0,0,0
