stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,3,3,1,0,2,0,0,0,7,0,0,0,1,0,0,0,1,0,1,14,2,0,0,0,3,0,22,136,47,0,0,0,0,0
 24-34,9.85,0.82,6.57,0,0,1.64,4.1,0,0,6.57,0,0.82,0,0,0,0,0,0,0,9.85,97.68,0.82,13.13,0,0,0,0.82,63.21,47.61,79.62,0,0,1.64,0,0
 36-46,5.64,0,1.61,0,0,3.22,6.45,0,0.81,8.06,0,0,0,0,0,0,0,1.61,0,4.03,176.44,0,24.98,0,1.61,0,0,43.51,1.61,66.06,0,0,0.81,0,0
 48-58,2.87,0,2.3,0,0,10.33,2.87,0,0,21.8,0.57,0,0,0,0.57,0,0,2.87,0,6.89,179.6,0,13.77,0,0.57,0,0,19.51,0,64.84,0,0,0,0,1.15
 60-70,3.93,0,2.94,0,0,20.61,1.96,0,0.98,61.84,0,0,0,0,0,0,0,3.93,0,5.89,313.11,0,8.83,0.98,1.96,0,0,1.96,0,48.09,0.98,0,0.98,0,0
 72-82,9.82,0,0,0.98,0,59.88,4.91,0.98,0,103.07,7.85,0,0,0,0,0,0,11.78,0,9.82,427.02,0,23.56,1.96,0,0,0,6.87,0,50.06,1.96,0,0,0,0
 84-94,7.43,0,6.37,0,0,52.04,4.25,0,0,71.16,2.12,0,1.06,0,1.06,0,0,6.37,1.06,8.5,190.1,0,16.99,2.12,0,0,0,5.31,0,39.3,2.12,0,1.06,1.06,0
 96-106,9.84,0,6.56,1.09,0,41.53,1.09,0,0,71.04,4.37,1.09,0,0,0,0,1.09,8.74,2.19,7.65,194.53,0,22.95,2.19,0,0,0,8.74,0,41.53,1.09,0,2.19,0,0
108-118,14.55,0,7.66,0.77,0.77,47.49,6.13,0,0.77,57.45,6.13,0,0.77,0,0,0,0.77,3.06,0,7.66,224.43,0,12.26,2.3,0,0,0,5.36,0,25.28,5.36,0.77,0.77,0,0.77
120,5.88,0,3.92,0,0,29.4,11.76,0,0,52.91,3.92,0,0,0,0,3.92,0,1.96,0,15.68,292.01,0,15.68,3.92,1.96,0,0,1.96,0,27.44,1.96,0,0,0,0
