stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,7,4,0,0,1,33,6,0,3,1,0,1,0,2,12,0,0,0
 24-34,0,0,0.82,0,0,8.21,0,1.64,0.82,0.82,0,0,0,3.28,0,0.82,4.1,8.21,0,0,0.82,68.13,7.39,0.82,18.88,0,0,0,0,0,16.42,0,0,3.28
 36-46,0,0,0,0,0,9.67,0,34.64,0,0,0.81,0,0,1.61,0,0.81,0,8.86,0,0,0.81,63.65,14.5,0,18.53,0,0,0,0.81,0,29.81,0,0.81,0
 48-58,0,0.57,0.57,0,0,21.23,0,56.81,0,0.57,0,0,0,0.57,0.57,0.57,0,20.08,0,0,1.72,42.46,6.89,0,21.8,0,0.57,0,0,0,21.23,0,0.57,0.57
 60-70,0,0,0,0,0,9.82,0,65.76,0,0,0.98,0,0,1.96,0,0,1.96,42.21,0,0,0,21.59,2.94,0,19.63,0,0,0,1.96,0,5.89,0,0,6.87
 72-82,0,0,0.98,0,0,10.8,0,93.26,0,0,0,0,0,0,0,0.98,0.98,80.5,0,0,1.96,22.58,9.82,0,33.38,0,0,0,2.94,0,7.85,0.98,0,7.85
 84-94,0,0,0,0,0,7.43,0,45.67,0,1.06,0,0,0,2.12,0,0,1.06,59.47,1.06,0,4.25,16.99,15.93,0,35.05,0,0,2.12,6.37,0,2.12,0,0,14.87
 96-106,0,0,1.09,1.09,0,10.93,0,79.78,0,0,0,1.09,0,4.37,0,2.19,2.19,49.18,0,1.09,4.37,17.49,7.65,0,27.32,0,1.09,2.19,3.28,0,1.09,0,0,6.56
108-118,0,0,0.77,0,0.77,9.19,0.77,77.36,0.77,0,0,0,0.77,5.36,0,1.53,0.77,45.19,0.77,0,0.77,17.62,3.83,0,41.36,0,0,2.3,4.6,0,2.3,1.53,0,13.79
120,0,0,0,1.96,0,5.88,0,94.07,0,0,0,1.96,0,5.88,0,0,0,43.12,0,0,0,27.44,7.84,0,23.52,0,0,1.96,1.96,0,0,1.96,0,7.84
