stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,3.15,0,9.44,0,0,0,3.15,0,0,0
 14-21,0,0,2,1,2,0,0,0,0,0,0,4,0,5,37,2,1,1,0,0,3,0,8,11,1
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,1.64,0,0.82,16.42,0,0,0,0,0,0,0,0,2.46,0
 36-46,0,0,0,0,1.61,0,0.81,0,0.81,0,0,0.81,0,0,4.03,0,0,0,0,0,0,0,0,1.61,0.81
 48-58,0,0,0,0,1.72,0,0,0.57,0,0,0,1.15,0,1.15,3.44,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,2.94,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,1.06,1.06,1.06,0,2.12,0,0,0,2.12,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0.77,0,0.77,0.77,3.06,0,0,3.83,0,0,0,0.77,0.77,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0
