stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,13,0,9,0,0,0,4,1,0,0,1,0,0,0,0,2,0,0,4,97,0,0,0,0,0,0,5,1,0,2,34,0,0,0,0,0
 24-34,0,0,0,0,0.82,1.64,0,8.21,0,0,0,4.93,0,0.82,0,0,0.82,0.82,0,0.82,13.13,0.82,0,5.75,281.55,0.82,1.64,1.64,0,0,0.82,0,1.64,0,0,87.01,0,0,4.1,0,0
 36-46,0,0,0,0,2.42,0,0,28.2,0,0,0,12.89,1.61,0.81,0,0,1.61,0,0,2.42,10.47,0,0,0.81,479.37,3.22,6.45,1.61,0,0,1.61,0,1.61,0,0,128.1,0,0,3.22,0,1.61
 48-58,0.57,0,0,0,2.3,0,0,70,0.57,0.57,1.15,20.66,0,1.15,0,0,3.44,0.57,0.57,1.15,20.08,0,0.57,2.87,402.81,1.15,1.72,1.72,0,0,2.3,0,0,0.57,0,105.58,0,0,7.46,0,1.72
 60-70,0,0,0,0,2.94,0.98,0,116.8,0,0.98,1.96,22.58,0.98,0.98,0.98,0,8.83,0,1.96,0.98,23.56,0.98,0,2.94,321.94,0.98,1.96,0.98,0,0,5.89,0,1.96,0.98,0,54.97,0,1.96,6.87,0,2.94
 72-82,0,0,2.94,0,3.93,0,0,119.76,0,0.98,0.98,22.58,2.94,0.98,2.94,1.96,10.8,0.98,0,0,38.28,0,0.98,0,281.74,0,0,6.87,0,0,8.83,0,2.94,0.98,0,29.45,1.96,0,5.89,1.96,1.96
 84-94,0,0,1.06,0,6.37,2.12,1.06,76.47,2.12,6.37,4.25,16.99,4.25,1.06,1.06,1.06,12.74,1.06,1.06,1.06,28.68,0,1.06,3.19,112.58,0,2.12,8.5,0,0,26.55,0,1.06,0,0,18.05,1.06,4.25,8.5,0,0
 96-106,0,0,1.09,0,9.84,1.09,2.19,79.78,0,2.19,1.09,15.3,4.37,1.09,2.19,2.19,9.84,1.09,0,2.19,29.51,2.19,1.09,1.09,86.33,0,1.09,4.37,0,0,26.23,0,2.19,0,0,12.02,0,0,5.46,2.19,1.09
108-118,0,0,0,0,4.6,0,3.83,45.19,0.77,3.06,0.77,8.43,7.66,0,0.77,0,21.45,0.77,1.53,2.3,22.98,0.77,2.3,3.06,117.96,0,1.53,0.77,0,0.77,20.68,0,6.13,1.53,0,2.3,1.53,0,9.19,0.77,0.77
120,0,0,0,1.96,1.96,1.96,3.92,29.4,1.96,1.96,0,19.6,11.76,1.96,3.92,3.92,3.92,0,0,0,17.64,0,3.92,3.92,121.51,0,5.88,3.92,0,1.96,21.56,0,5.88,0,0,3.92,0,0,11.76,0,0
