stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,42.06,2.63,0,0,28.92,0,0,0,0,0
 10-12,0,3.15,12.59,0,3.15,22.03,0,0,0,0,0,0,0,0,0,185.67,0,0,0,56.65,0,6.29,0,0,0
 14-21,0,0,0,6,1,1,0,0,1,0,1,0,0,0,1,20,1,1,0,0,1,0,2,5,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0.82,0,1.64,0,0.82,31.19,0,0,0.82,0,0,0,1.64,11.49,0
 36-46,0,0,0,0,0,4.83,0,0,0,0,0,0.81,2.42,0,0.81,26.59,0,0,0,0,0,0,0,6.45,0
 48-58,0,0,0,0,0,6.31,1.72,0,0,0,0,0,4.02,0.57,0.57,8.61,0,0,0,0,0,0,0,2.87,0
 60-70,0,0,0,0,0,6.87,1.96,0,0,0,0,0,4.91,0,0,2.94,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0.98,0,0,0,0,0,1.96,0,1.96,3.93,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,2.12,0,5.31,2.12,0,0,0,0,0,3.19,0,0,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0.77,0,0,3.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,1.96,0
